t,value
1598409419,2863661056
1598409420,2863661056
1598409421,2863661056
1598409422,2863661056
1598409423,2863661056
1598409424,2863661056
1598409425,2863661056
1598409426,2863661056
1598409427,2863661056
1598409428,2863661056
1598409429,2863661056
1598409430,2863661056
1598409431,2863661056
1598409432,2863661056
1598409433,2863661056
1598409434,2863661056
1598409435,2863661056
1598409437,2863661056
1598409437,2863661056
1598409438,2863661056
1598409439,2863661056
1598409440,2863661056
1598409441,2863661056
1598409442,2863661056
1598409444,2863661056
1598409444,2863661056
1598409445,2863661056
1598409446,2863661056
1598409447,2863661056
1598409448,2863661056
1598409449,2863661056
1598409450,2863661056
1598409451,2863661056
1598409452,2863661056
1598409453,2863661056
1598409454,2863661056
1598409455,2863661056
1598409456,2863661056
1598409457,2863661056
1598409458,2863661056
1598409459,2863661056
1598409460,2863661056
1598409461,2863661056
1598409462,2863661056
1598409463,2863661056
1598409464,2863661056
1598409465,2863661056
1598409466,2863661056
1598409467,2863661056
1598409468,2863661056
1598409469,2863661056
1598409470,2863661056
1598409471,2863661056
1598409472,2863661056
1598409473,2863661056
1598409474,2863661056
1598409475,2863661056
1598409476,2863661056
1598409477,2863661056
1598409478,2863661056
1598409479,2863661056
1598409480,2863661056
1598409481,2863661056
1598409482,2863661056
1598409483,2863661056
1598409484,2863661056
1598409485,2863661056
1598409486,2863661056
1598409487,2863661056
1598409488,2863661056
1598409489,2863661056
1598409490,2863661056
1598409491,2863661056
1598409492,2863661056
1598409493,2863661056
1598409494,2863661056
1598409495,2863661056
1598409496,2863661056
1598409497,2863661056
1598409498,2863661056
1598409499,2863661056
1598409500,2863661056
1598409501,2863661056
1598409502,2863661056
1598409503,2863661056
1598409504,2863661056
1598409505,2863661056
1598409506,2863661056
1598409507,2863661056
1598409508,2863661056
1598409509,2863661056
1598409510,2863661056
1598409511,2863661056
1598409512,2863661056
1598409513,2863661056
1598409514,2863661056
1598409515,2863661056
1598409516,2863661056
1598409517,2863661056
1598409518,2863661056
1598409519,2863661056
1598409520,2863661056
1598409521,2863661056
1598409522,2863661056
1598409523,2863661056
1598409524,2863661056
1598409525,2863661056
1598409526,2863661056
1598409527,2863661056
1598409528,2863661056
1598409529,2863661056
1598409530,2863661056
1598409531,2863661056
1598409532,2863661056
1598409533,2863661056
1598409534,2863661056
1598409535,2863661056
1598409536,2863661056
1598409537,2863661056
1598409538,2863661056
