t,value
1598409419,5790000000
1598409420,5920000000
1598409421,5990000000
1598409422,6050000000
1598409423,6070000000
1598409424,6190000000
1598409425,6270000000
1598409426,6300000000
1598409427,7780000000
1598409428,8580000000
1598409429,8740000000
1598409430,11600000000
1598409431,14000000000
1598409432,16470000000
1598409433,18170000000
1598409434,21680000000
1598409435,24960000000
1598409436,26340000000
1598409437,28980000000
1598409438,31000000000
1598409439,31550000000
1598409440,32690000000
1598409441,33160000000
1598409442,33220000000
1598409444,39290000000
1598409444,39480000000
1598409445,40840000000
1598409446,41530000000
1598409447,42340000000
1598409448,44320000000
1598409449,45980000000
1598409450,46620000000
1598409451,47210000000
1598409452,48660000000
1598409453,50240000000
1598409454,51330000000
1598409455,52680000000
1598409456,53860000000
1598409457,55010000000
1598409458,56150000000
1598409459,57430000000
1598409460,58760000000
1598409461,60480000000
1598409462,61620000000
1598409463,62590000000
1598409464,63480000000
1598409465,64510000000
1598409466,65760000000
1598409467,67080000000
1598409468,68090000000
1598409469,68960000000
1598409470,69840000000
1598409471,71100000000
1598409472,72210000000
1598409473,73170000000
1598409474,74040000000
1598409475,74890000000
1598409476,76350000000
1598409477,77530000000
1598409478,78610000000
1598409479,79570000000
1598409480,80510000000
1598409481,81650000000
1598409482,82870000000
1598409483,83890000000
1598409484,84850000000
1598409485,85670000000
1598409486,86830000000
1598409487,88040000000
1598409488,89250000000
1598409489,90180000000
1598409490,91120000000
1598409491,92380000000
1598409492,93590000000
1598409493,94540000000
1598409494,95370000000
1598409495,96400000000
1598409496,97620000000
1598409497,98640000000
1598409498,99750000000
1598409499,100590000000
1598409500,101580000000
1598409501,102870000000
1598409502,104090000000
1598409503,105130000000
1598409504,105950000000
1598409505,106930000000
1598409506,108130000000
1598409507,109300000000
1598409508,110230000000
1598409509,111030000000
1598409510,112220000000
1598409511,113390000000
1598409512,114370000000
1598409513,115180000000
1598409514,116230000000
1598409515,117400000000
1598409516,118580000000
1598409517,119550000000
1598409518,120490000000
1598409519,121630000000
1598409520,122740000000
1598409521,124000000000
1598409522,124900000000
1598409523,125960000000
1598409524,127080000000
1598409525,128180000000
1598409526,129040000000
1598409527,130190000000
1598409528,131320000000
1598409529,132350000000
1598409530,133300000000
1598409531,134140000000
1598409532,135630000000
1598409533,136660000000
1598409534,137660000000
1598409535,138600000000
1598409536,138600000000
1598409537,138610000000
1598409538,138630000000
