t,value
1598409419,1073741824
1598409420,1073741824
1598409421,1073741824
1598409422,1073741824
1598409423,1073741824
1598409424,1073741824
1598409425,1073741824
1598409426,1073741824
1598409427,1073741824
1598409428,1073741824
1598409429,1073741824
1598409430,1073741824
1598409431,1073741824
1598409432,1073741824
1598409433,1073741824
1598409434,1073741824
1598409435,1073741824
1598409436,1073741824
1598409437,1073741824
1598409438,1073741824
1598409439,1073741824
1598409440,1073741824
1598409441,1073741824
1598409442,1073741824
1598409444,1073741824
1598409444,1073741824
1598409445,1073741824
1598409446,1073741824
1598409447,1073741824
1598409448,1073741824
1598409449,1073741824
1598409450,1073741824
1598409451,1073741824
1598409452,1073741824
1598409453,1073741824
1598409454,1073741824
1598409455,1073741824
1598409456,1073741824
1598409457,1073741824
1598409458,1073741824
1598409459,1073741824
1598409460,1073741824
1598409461,1073741824
1598409462,1073741824
1598409463,1073741824
1598409464,1073741824
1598409465,1073741824
1598409466,1073741824
1598409467,1073741824
1598409468,1073741824
1598409469,1073741824
1598409470,1073741824
1598409471,1073741824
1598409472,1073741824
1598409473,1073741824
1598409474,1073741824
1598409475,1073741824
1598409476,1073741824
1598409477,1073741824
1598409478,1073741824
1598409479,1073741824
1598409480,1073741824
1598409481,1073741824
1598409482,1073741824
1598409483,1073741824
1598409484,1073741824
1598409485,1073741824
1598409486,1073741824
1598409487,1073741824
1598409488,1073741824
1598409489,1073741824
1598409490,1073741824
1598409491,1073741824
1598409492,1073741824
1598409493,1073741824
1598409494,1073741824
1598409495,1073741824
1598409496,1073741824
1598409497,1073741824
1598409498,1073741824
1598409499,1073741824
1598409500,1073741824
1598409501,1073741824
1598409502,1073741824
1598409503,1073741824
1598409504,1073741824
1598409505,1073741824
1598409506,1073741824
1598409507,1073741824
1598409508,1073741824
1598409509,1073741824
1598409510,1073741824
1598409511,1073741824
1598409512,1073741824
1598409513,1073741824
1598409514,1073741824
1598409515,1073741824
1598409516,1073741824
1598409517,1073741824
1598409518,1073741824
1598409519,1073741824
1598409520,1073741824
1598409521,1073741824
1598409522,1073741824
1598409523,1073741824
1598409524,1073741824
1598409525,1073741824
1598409526,1073741824
1598409527,1073741824
1598409528,1073741824
1598409529,1073741824
1598409530,1073741824
1598409531,1073741824
1598409532,1073741824
1598409533,1073741824
1598409534,1073741824
1598409535,1073741824
1598409536,1073741824
1598409537,1073741824
1598409538,1073741824
