t,value
1598409419,1388314624
1598409420,1388314624
1598409421,1388314624
1598409422,1388314624
1598409423,1388314624
1598409424,1388314624
1598409425,1388314624
1598409426,1388314624
1598409427,1388314624
1598409428,1388314624
1598409429,1388314624
1598409430,1397227520
1598409431,1395654656
1598409432,1401946112
1598409433,1401946112
1598409434,1215823872
1598409435,1100480512
1598409436,1061158912
1598409437,999292928
1598409438,993525760
1598409439,993525760
1598409440,1100480512
1598409441,1100480512
1598409442,1100480512
1598409444,1013972992
1598409444,1013972992
1598409445,1013972992
1598409446,1029177344
1598409447,1029177344
1598409448,1029177344
1598409449,1029177344
1598409450,1029177344
1598409451,1029177344
1598409452,1029701632
1598409453,1029701632
1598409454,1029701632
1598409455,1029701632
1598409456,1029701632
1598409457,1028128768
1598409458,1028128768
1598409459,1028128768
1598409460,1028128768
1598409461,1033895936
1598409462,1033895936
1598409463,1033895936
1598409464,1033895936
1598409465,1033895936
1598409466,1035468800
1598409467,1035468800
1598409468,1035468800
1598409469,1035468800
1598409470,1035468800
1598409471,1051721728
1598409472,1051721728
1598409473,1051721728
1598409474,1051721728
1598409475,1051721728
1598409476,1054343168
1598409477,1054343168
1598409478,1054343168
1598409479,1054343168
1598409480,1054343168
1598409481,1077936128
1598409482,1077936128
1598409483,1077936128
1598409484,1077936128
1598409485,1077936128
1598409486,1080557568
1598409487,1080557568
1598409488,1080557568
1598409489,1080557568
1598409490,1080557568
1598409491,1106771968
1598409492,1106771968
1598409493,1106771968
1598409494,1106771968
1598409495,1106771968
1598409496,1109917696
1598409497,1109917696
1598409498,1109917696
1598409499,1109917696
1598409500,1109917696
1598409501,1143472128
1598409502,1143472128
1598409503,1143472128
1598409504,1143472128
1598409505,1143472128
1598409506,1140326400
1598409507,1140326400
1598409508,1140326400
1598409509,1140326400
1598409510,1140326400
1598409511,1172307968
1598409512,1172307968
1598409513,1172307968
1598409514,1172307968
1598409515,1172307968
1598409516,1170210816
1598409517,1170210816
1598409518,1170210816
1598409519,1170210816
1598409520,1170210816
1598409521,1200619520
1598409522,1200619520
1598409523,1200619520
1598409524,1200619520
1598409525,1200619520
1598409526,1200619520
1598409527,1199046656
1598409528,1199046656
1598409529,1199046656
1598409530,1199046656
1598409531,1199046656
1598409532,1225261056
1598409533,1225261056
1598409534,1225261056
1598409535,1225261056
1598409536,1225261056
1598409537,1225261056
1598409538,1225261056
