t,value
1598409419,7027272
1598409420,7027272
1598409421,7027272
1598409422,7027272
1598409423,7027272
1598409424,7027272
1598409425,7027272
1598409426,7027272
1598409427,7027272
1598409428,7027272
1598409429,7027272
1598409430,10207072
1598409431,10215264
1598409432,20636968
1598409433,20636968
1598409434,188398608
1598409435,163690200
1598409436,224235240
1598409437,334356392
1598409438,430207360
1598409439,430207360
1598409440,516195248
1598409441,516195248
1598409442,516195248
1598409444,588110040
1598409444,588110040
1598409445,588110040
1598409446,588118232
1598409447,588118232
1598409448,588118232
1598409449,588118232
1598409450,588118232
1598409451,588118232
1598409452,588126424
1598409453,588126424
1598409454,588126424
1598409455,588126424
1598409456,588126424
1598409457,588134616
1598409458,588134616
1598409459,588134616
1598409460,588134616
1598409461,588142808
1598409462,588142808
1598409463,588142808
1598409464,588142808
1598409465,588142808
1598409466,588151000
1598409467,588151000
1598409468,588151000
1598409469,588151000
1598409470,588151000
1598409471,588159192
1598409472,588159192
1598409473,588159192
1598409474,588159192
1598409475,588159192
1598409476,588167384
1598409477,588167384
1598409478,588167384
1598409479,588167384
1598409480,588167384
1598409481,588175576
1598409482,588175576
1598409483,588175576
1598409484,588175576
1598409485,588175576
1598409486,588183768
1598409487,588183768
1598409488,588183768
1598409489,588183768
1598409490,588183768
1598409491,588191960
1598409492,588191960
1598409493,588191960
1598409494,588191960
1598409495,588191960
1598409496,588200152
1598409497,588200152
1598409498,588200152
1598409499,588200152
1598409500,588200152
1598409501,588208344
1598409502,588208344
1598409503,588208344
1598409504,588208344
1598409505,588208344
1598409506,588216536
1598409507,588216536
1598409508,588216536
1598409509,588216536
1598409510,588216536
1598409511,588224728
1598409512,588224728
1598409513,588224728
1598409514,588224728
1598409515,588224728
1598409516,588232920
1598409517,588232920
1598409518,588232920
1598409519,588232920
1598409520,588232920
1598409521,588477488
1598409522,588477488
1598409523,588477488
1598409524,588477488
1598409525,588477488
1598409526,588477488
1598409527,590531776
1598409528,590531776
1598409529,590531776
1598409530,590531776
1598409531,590531776
1598409532,590777536
1598409533,590777536
1598409534,590777536
1598409535,590777536
1598409536,590777536
1598409537,590777536
1598409538,590777536
