t,value
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,900383920
1598409439,900383920
1598409440,900383920
1598409442,900383920
1598409442,900383920
1598409443,900383920
1598409444,900383920
1598409445,900383920
1598409446,900383920
1598409447,900383920
1598409448,887813264
1598409449,887813264
1598409450,887813264
1598409451,887813264
1598409452,887813264
1598409453,887813264
1598409454,887813264
1598409455,887813264
1598409456,887813264
1598409457,887813264
1598409458,1538172824
1598409459,1538172824
1598409460,1538172824
1598409461,1538172824
1598409462,1538172824
1598409463,1538172824
1598409464,1538172824
1598409465,1538172824
1598409466,1538172824
1598409467,1538172824
1598409468,1710283688
1598409469,1710283688
1598409470,1710283688
1598409471,1710283688
1598409472,1710283688
1598409473,1710283688
1598409474,1710283688
1598409475,1710283688
1598409476,1710283688
1598409477,1710283688
1598409478,1718216392
1598409479,1718216392
1598409480,1718216392
1598409481,1718216392
1598409482,1718216392
1598409483,1718216392
1598409484,1718216392
1598409485,1718216392
1598409486,1718216392
1598409487,1718216392
1598409488,1590826640
1598409489,1590826640
1598409490,1590826640
1598409491,1590826640
1598409492,1590826640
1598409493,1590826640
1598409494,1590826640
1598409495,1590826640
1598409496,1590826640
1598409497,1590826640
1598409498,1391875080
1598409499,1391875080
1598409500,1391875080
1598409501,1391875080
1598409502,1391875080
1598409503,1391875080
1598409504,1391875080
1598409505,1391875080
1598409506,1391875080
1598409507,1391875080
1598409508,1142040632
1598409509,1142040632
1598409510,1142040632
1598409511,1142040632
1598409512,1142040632
1598409513,1142040632
1598409514,1142040632
1598409515,1142040632
1598409516,1142040632
1598409517,1142040632
1598409518,908717688
1598409519,908717688
1598409520,908717688
1598409521,908717688
1598409522,908717688
1598409523,908717688
1598409524,908717688
1598409525,908717688
1598409526,908717688
1598409527,908717688
1598409528,1744939304
1598409529,1744939304
1598409530,1744939304
1598409531,1744939304
1598409532,1744939304
1598409533,1744939304
1598409534,1744939304
1598409535,1744939304
1598409536,1744939304
1598409537,1744939304
1598409538,1060677664
