t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,1617331770
1598409439,1617331770
1598409440,1617331770
1598409442,1623123230
1598409442,1623123230
1598409443,1705010989
1598409444,1711453870
1598409445,1740655793
1598409446,1763083863
1598409447,1783883604
1598409448,1783883604
1598409449,1895274055
1598409450,1904719739
1598409451,1925914679
1598409452,1959543888
1598409453,1990799110
1598409454,2024305144
1598409455,2054801195
1598409456,2082754857
1598409457,2113203141
1598409458,2137536691
1598409459,2167161594
1598409460,2186333826
1598409461,2214681117
1598409462,2245035889
1598409463,2266103220
1598409464,2290943274
1598409465,2311570758
1598409466,2337855256
1598409467,2356044364
1598409468,2386058904
1598409469,2408031180
1598409470,2431641362
1598409471,2456992150
1598409472,2475220969
1598409473,2507991558
1598409474,2527359104
1598409475,2549963321
1598409476,2574154071
1598409477,2593949283
1598409478,2620147138
1598409479,2638123466
1598409480,2657078437
1598409481,2679118509
1598409482,2699959136
1598409483,2725321784
1598409484,2744185065
1598409485,2762436675
1598409486,2786746924
1598409487,2804773448
1598409488,2826998390
1598409489,2846555194
1598409490,2863174730
1598409491,2887414271
1598409492,2910521245
1598409493,2929307268
1598409494,2950124222
1598409495,2971772918
1598409496,2988008943
1598409497,3011252969
1598409498,3027938267
1598409499,3047272865
1598409500,3063181910
1598409501,3084910672
1598409502,3107416816
1598409503,3124108529
1598409504,3146876435
1598409505,3167546945
1598409506,3185060945
1598409507,3209048194
1598409508,3225981399
1598409509,3244013614
1598409510,3264943809
1598409511,3280386520
1598409512,3301264324
1598409513,3321124078
1598409514,3340088478
1598409515,3355037443
1598409516,3377112756
1598409517,3393907454
1598409518,3408833890
1598409519,3428129690
1598409520,3449752992
1598409521,3468060090
1598409522,3484104603
1598409523,3505258429
1598409524,3521033291
1598409525,3543673223
1598409526,3561052058
1598409527,3583961470
1598409528,3600551903
1598409529,3622629649
1598409530,3641453481
1598409531,3659697754
1598409532,3681004183
1598409533,3701134629
1598409534,3719062662
1598409535,3741002979
1598409536,3741002979
1598409537,3741002979
1598409538,3741002979
