t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,13226
1598409439,13226
1598409440,13226
1598409442,16828
1598409442,16828
1598409443,22355
1598409444,22838
1598409445,23078
1598409446,24937
1598409447,25149
1598409448,25149
1598409449,27821
1598409450,29600
1598409451,29984
1598409452,31163
1598409453,32176
1598409454,33560
1598409455,34995
1598409456,36513
1598409457,37574
1598409458,38573
1598409459,39619
1598409460,40643
1598409461,41751
1598409462,43333
1598409463,44335
1598409464,45802
1598409465,46912
1598409466,47952
1598409467,48957
1598409468,50581
1598409469,51886
1598409470,53138
1598409471,54173
1598409472,55240
1598409473,56764
1598409474,57815
1598409475,59346
1598409476,60381
1598409477,61447
1598409478,62974
1598409479,63980
1598409480,65452
1598409481,66445
1598409482,67452
1598409483,69050
1598409484,70349
1598409485,71632
1598409486,72683
1598409487,73736
1598409488,75263
1598409489,76736
1598409490,77719
1598409491,78763
1598409492,80300
1598409493,81348
1598409494,82870
1598409495,83896
1598409496,84966
1598409497,86549
1598409498,87533
1598409499,88993
1598409500,89998
1598409501,90994
1598409502,92524
1598409503,93527
1598409504,95089
1598409505,96125
1598409506,97118
1598409507,98668
1598409508,100139
1598409509,101218
1598409510,102219
1598409511,103210
1598409512,104704
1598409513,106206
1598409514,107209
1598409515,108186
1598409516,109660
1598409517,111120
1598409518,112126
1598409519,113102
1598409520,114577
1598409521,115809
1598409522,117073
1598409523,118114
1598409524,119092
1598409525,120610
1598409526,122075
1598409527,123116
1598409528,124110
1598409529,125604
1598409530,127057
1598409531,128029
1598409532,129025
1598409533,130304
1598409534,131537
1598409535,133147
1598409536,133147
1598409537,133147
1598409538,133147
