t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,0
1598409439,0
1598409440,0
1598409442,0
1598409442,0
1598409443,0
1598409444,0
1598409445,0
1598409446,0
1598409447,0
1598409448,0
1598409449,0
1598409450,0
1598409451,1148
1598409452,4508
1598409453,7868
1598409454,11228
1598409455,14588
1598409456,16268
1598409457,19628
1598409458,22988
1598409459,29709
1598409460,33069
1598409461,34749
1598409462,38111
1598409463,41471
1598409464,44831
1598409465,48191
1598409466,53233
1598409467,56593
1598409468,59953
1598409469,63313
1598409470,64993
1598409471,71715
1598409472,75075
1598409473,76756
1598409474,80116
1598409475,83476
1598409476,88516
1598409477,91876
1598409478,95236
1598409479,98596
1598409480,101957
1598409481,105317
1598409482,108678
1598409483,112038
1598409484,115398
1598409485,118758
1598409486,125479
1598409487,127159
1598409488,130519
1598409489,133879
1598409490,137239
1598409491,140599
1598409492,143959
1598409493,145639
1598409494,147319
1598409495,152359
1598409496,155719
1598409497,159079
1598409498,162439
1598409499,164120
1598409500,167480
1598409501,172521
1598409502,175881
1598409503,177561
1598409504,179241
1598409505,184281
1598409506,187641
1598409507,189321
1598409508,192681
1598409509,196042
1598409510,201082
1598409511,202762
1598409512,206122
1598409513,209482
1598409514,216203
1598409515,219563
1598409516,221243
1598409517,224603
1598409518,227964
1598409519,233004
1598409520,236364
1598409521,238044
1598409522,241404
1598409523,246444
1598409524,248124
1598409525,249804
1598409526,253164
1598409527,256524
1598409528,259884
1598409529,263244
1598409530,266604
1598409531,268284
1598409532,275005
1598409533,276685
1598409534,280045
1598409535,283406
1598409536,283406
1598409537,283406
1598409538,283406
