t,value
1598409419,7340032
1598409420,7536640
1598409421,7667712
1598409422,7733248
1598409423,7733248
1598409424,7995392
1598409425,7995392
1598409426,7995392
1598409427,7995392
1598409428,8323072
1598409429,8388608
1598409430,9633792
1598409431,10485760
1598409432,12517376
1598409433,12910592
1598409434,14811136
1598409435,15597568
1598409436,15859712
1598409437,16580608
1598409438,17170432
1598409439,17629184
1598409440,17956864
1598409442,18219008
1598409442,18219008
1598409443,18219008
1598409444,18219008
1598409445,18219008
1598409446,18219008
1598409447,18284544
1598409448,19005440
1598409449,19005440
1598409450,19005440
1598409451,19005440
1598409452,19464192
1598409453,19922944
1598409454,20643840
1598409455,21102592
1598409456,21495808
1598409457,21757952
1598409458,21954560
1598409459,21954560
1598409460,21954560
1598409461,21954560
1598409462,22085632
1598409463,22085632
1598409464,22282240
1598409465,22413312
1598409466,22872064
1598409467,23003136
1598409468,23134208
1598409469,23330816
1598409470,23527424
1598409471,23920640
1598409472,24051712
1598409473,24182784
1598409474,24248320
1598409475,24444928
1598409476,24641536
1598409477,24838144
1598409478,24969216
1598409479,25100288
1598409480,25165824
1598409481,25296896
1598409482,25559040
1598409483,25690112
1598409484,25755648
1598409485,25886720
1598409486,25886720
1598409487,25952256
1598409488,26017792
1598409489,26083328
1598409490,26148864
1598409491,26279936
1598409492,26476544
1598409493,26607616
1598409494,26607616
1598409495,26673152
1598409496,26738688
1598409497,26738688
1598409498,26869760
1598409499,26869760
1598409500,26869760
1598409501,26935296
1598409502,26935296
1598409503,26935296
1598409504,27066368
1598409505,27066368
1598409506,27066368
1598409507,27721728
1598409508,27787264
1598409509,27852800
1598409510,27852800
1598409511,27918336
1598409512,27918336
1598409513,27983872
1598409514,28049408
1598409515,28114944
1598409516,28180480
1598409517,28246016
1598409518,28246016
1598409519,28246016
1598409520,28311552
1598409521,28508160
1598409522,28704768
1598409523,28770304
1598409524,28770304
1598409525,28835840
1598409526,28835840
1598409527,28901376
1598409528,28901376
1598409529,28966912
1598409530,28966912
1598409531,29097984
1598409532,29163520
1598409533,29163520
1598409534,29229056
1598409535,29360128
1598409536,29360128
1598409537,29360128
1598409538,29360128
