t,value
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,169
1598409433,169
1598409434,169
1598409436,169
1598409436,169
1598409437,169
1598409438,169
1598409439,169
1598409441,169
1598409441,169
1598409442,1177
1598409443,1177
1598409444,1177
1598409445,1177
1598409446,1177
1598409447,1177
1598409448,1177
1598409449,1177
1598409450,1177
1598409451,1177
1598409452,1177
1598409453,1177
1598409454,1177
1598409455,1177
1598409456,1177
1598409457,1177
1598409458,1177
1598409459,1177
1598409460,1177
1598409461,1177
1598409462,1177
1598409463,1177
1598409464,1177
1598409465,1177
1598409466,1177
1598409467,1177
1598409468,1177
1598409469,1177
1598409470,1177
1598409471,1177
1598409472,1177
1598409473,1177
1598409474,1177
1598409475,1177
1598409476,1177
1598409477,1177
1598409478,1177
1598409479,1177
1598409480,1177
1598409481,1177
1598409482,1177
1598409483,1177
1598409484,1177
1598409485,1177
1598409486,1177
1598409487,1177
1598409488,1177
1598409489,1177
1598409490,1177
1598409491,1177
1598409492,1177
1598409493,1177
1598409494,1177
1598409495,1177
1598409496,1177
1598409497,1177
1598409498,1177
1598409499,1177
1598409500,1177
1598409501,1177
1598409502,1177
1598409503,1177
1598409504,1177
1598409505,1177
1598409506,1177
1598409507,1177
1598409508,1177
1598409509,1177
1598409510,1177
1598409511,1177
1598409512,1177
1598409513,1177
1598409514,1177
1598409515,1177
1598409516,1177
1598409517,1177
1598409518,1177
1598409519,1177
1598409520,1177
1598409521,1177
1598409522,1177
1598409523,1177
1598409524,1177
1598409525,1177
1598409526,1177
1598409527,1177
1598409528,1177
1598409529,1177
1598409530,1177
1598409531,1177
1598409532,1177
1598409533,1177
1598409534,1177
1598409535,1177
1598409536,1177
1598409537,1177
1598409538,1177
