t,value
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,158210
1598409435,158210
1598409436,158210
1598409437,158210
1598409438,158210
1598409439,158210
1598409440,158210
1598409441,158210
1598409442,158210
1598409443,158210
1598409444,4373359
1598409446,4373359
1598409446,4373359
1598409447,4373359
1598409448,4373359
1598409449,4373359
1598409450,4373359
1598409451,4373359
1598409452,4373359
1598409453,4373359
1598409454,4347781
1598409455,4347781
1598409456,4347781
1598409457,4347781
1598409458,4347781
1598409459,4347781
1598409460,4347781
1598409461,4347781
1598409462,4347781
1598409463,4347781
1598409464,4348683
1598409465,4348683
1598409466,4348683
1598409467,4348683
1598409468,4348683
1598409469,4348683
1598409470,4348683
1598409471,4348683
1598409472,4348683
1598409473,4348683
1598409474,4348683
1598409475,4348683
1598409476,4348683
1598409477,4348683
1598409478,4348683
1598409479,4348683
1598409480,4348683
1598409481,4348683
1598409482,4348683
1598409483,4348683
1598409484,4348684
1598409485,4348684
1598409486,4348684
1598409487,4348684
1598409488,4348684
1598409489,4348684
1598409490,4348684
1598409491,4348684
1598409492,4348684
1598409493,4348684
1598409494,4348684
1598409495,4348684
1598409496,4348684
1598409497,4348684
1598409498,4348684
1598409499,4348684
1598409500,4348684
1598409501,4348684
1598409502,4348684
1598409503,4348684
1598409504,4348686
1598409505,4348686
1598409506,4348686
1598409507,4348686
1598409508,4348686
1598409509,4348686
1598409510,4348686
1598409511,4348686
1598409512,4348686
1598409513,4348686
1598409514,4348686
1598409515,4348686
1598409516,4348686
1598409517,4348686
1598409518,4348686
1598409519,4348686
1598409520,4348686
1598409521,4348686
1598409522,4348686
1598409523,4348686
1598409524,4348686
1598409525,4348686
1598409526,4348686
1598409527,4348686
1598409528,4348686
1598409529,4348686
1598409530,4348686
1598409531,4348686
1598409532,4348686
1598409533,4348686
1598409534,4348686
1598409535,4348686
1598409536,4348686
1598409537,4348686
1598409538,4348686
