t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,224081880
1598409439,224081880
1598409440,224081880
1598409441,336122820
1598409442,336122820
1598409443,1596122932
1598409444,1956122964
1598409446,2520123060
1598409446,2520123060
1598409447,3648123252
1598409448,3648123252
1598409449,4008123284
1598409450,4188123300
1598409451,4188123300
1598409452,4728123348
1598409453,5268123396
1598409454,6168123476
1598409455,6708123524
1598409456,7248123572
1598409457,7968123636
1598409458,8508123684
1598409459,9048123732
1598409460,9588123780
1598409461,10128123828
1598409462,11028123908
1598409463,11568123956
1598409464,12288124020
1598409465,12828124068
1598409466,13368124116
1598409467,13908124164
1598409468,14808124244
1598409469,15528124308
1598409470,16068124356
1598409471,16608124404
1598409472,17148124452
1598409473,18048124532
1598409474,18588124580
1598409475,19308124644
1598409476,19848124692
1598409477,20388124740
1598409478,21288124820
1598409479,21828124868
1598409480,22548124932
1598409481,23088124980
1598409482,23628125028
1598409483,24528125108
1598409484,25248125172
1598409485,25788125220
1598409486,26328125268
1598409487,26868125316
1598409488,27768125396
1598409489,28488125460
1598409490,29028125508
1598409491,29568125556
1598409492,30468125636
1598409493,31008125684
1598409494,31728125748
1598409495,32268125796
1598409496,32808125844
1598409497,33708125924
1598409498,34248125972
1598409499,34968126036
1598409500,35508126084
1598409501,36048126132
1598409502,36948126212
1598409503,37488126260
1598409504,38208126324
1598409505,38748126372
1598409506,39288126420
1598409507,40188126500
1598409508,40908126564
1598409509,41448126612
1598409510,41988126660
1598409511,42528126708
1598409512,43428126788
1598409513,44148126852
1598409514,44688126900
1598409515,45228126948
1598409516,46128127028
1598409517,46848127092
1598409518,47388127140
1598409519,47928127188
1598409520,48828127268
1598409521,49548127332
1598409522,50088127380
1598409523,50628127428
1598409524,51168127476
1598409525,52068127556
1598409526,52788127620
1598409527,53328127668
1598409528,53868127716
1598409529,54768127796
1598409530,55488127860
1598409531,56028127908
1598409532,56568127956
1598409533,57288128020
1598409534,58008128084
1598409535,58632128148
1598409536,58632128148
1598409537,58632128148
1598409538,58632128148
