t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,9134
1598409439,9134
1598409440,9134
1598409441,9139
1598409442,9139
1598409443,9277
1598409444,9281
1598409446,9327
1598409446,9327
1598409447,9387
1598409448,9387
1598409449,9541
1598409450,9546
1598409451,9546
1598409452,9613
1598409453,9658
1598409454,9727
1598409455,9776
1598409456,9821
1598409457,9865
1598409458,9906
1598409459,10008
1598409460,10046
1598409461,10080
1598409462,10135
1598409463,10171
1598409464,10209
1598409465,10243
1598409466,10292
1598409467,10322
1598409468,10371
1598409469,10401
1598409470,10430
1598409471,10475
1598409472,10504
1598409473,10549
1598409474,10582
1598409475,10614
1598409476,10660
1598409477,10689
1598409478,10729
1598409479,10758
1598409480,10790
1598409481,10826
1598409482,10860
1598409483,10900
1598409484,10933
1598409485,10961
1598409486,11003
1598409487,11032
1598409488,11070
1598409489,11097
1598409490,11124
1598409491,11161
1598409492,11198
1598409493,11223
1598409494,11248
1598409495,11285
1598409496,11313
1598409497,11352
1598409498,11381
1598409499,11412
1598409500,11437
1598409501,11472
1598409502,11509
1598409503,11536
1598409504,11563
1598409505,11597
1598409506,11627
1598409507,11665
1598409508,11689
1598409509,11710
1598409510,11745
1598409511,11769
1598409512,11807
1598409513,11833
1598409514,11869
1598409515,11890
1598409516,11924
1598409517,11947
1598409518,11973
1598409519,12004
1598409520,12038
1598409521,12062
1598409522,12087
1598409523,12119
1598409524,12141
1598409525,12177
1598409526,12198
1598409527,12232
1598409528,12255
1598409529,12289
1598409530,12314
1598409531,12337
1598409532,12370
1598409533,12397
1598409534,12422
1598409535,12454
1598409536,12454
1598409537,12454
1598409538,12454
