t,count
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,0
1598409431,0
1598409432,0
1598409433,0
1598409434,0
1598409435,0
1598409436,0
1598409437,0
1598409438,2
1598409439,2
1598409440,2
1598409441,3
1598409442,3
1598409443,8
1598409444,9
1598409446,12
1598409446,12
1598409447,18
1598409448,18
1598409449,20
1598409450,21
1598409451,21
1598409452,26
1598409453,34
1598409454,45
1598409455,54
1598409456,63
1598409457,71
1598409458,78
1598409459,91
1598409460,99
1598409461,108
1598409462,118
1598409463,126
1598409464,135
1598409465,143
1598409466,158
1598409467,167
1598409468,177
1598409469,186
1598409470,195
1598409471,208
1598409472,217
1598409473,226
1598409474,233
1598409475,243
1598409476,256
1598409477,264
1598409478,275
1598409479,282
1598409480,292
1598409481,305
1598409482,313
1598409483,322
1598409484,331
1598409485,338
1598409486,351
1598409487,358
1598409488,368
1598409489,376
1598409490,383
1598409491,395
1598409492,405
1598409493,412
1598409494,421
1598409495,433
1598409496,440
1598409497,449
1598409498,456
1598409499,464
1598409500,472
1598409501,485
1598409502,495
1598409503,502
1598409504,510
1598409505,521
1598409506,528
1598409507,538
1598409508,547
1598409509,554
1598409510,566
1598409511,574
1598409512,584
1598409513,592
1598409514,604
1598409515,611
1598409516,621
1598409517,630
1598409518,637
1598409519,648
1598409520,657
1598409521,666
1598409522,673
1598409523,684
1598409524,691
1598409525,700
1598409526,709
1598409527,721
1598409528,728
1598409529,737
1598409530,745
1598409531,752
1598409532,763
1598409533,771
1598409534,780
1598409535,788
1598409536,788
1598409537,788
1598409538,788
