t,value
1598409419,1956
1598409420,1956
1598409421,1956
1598409422,1956
1598409423,1956
1598409424,1956
1598409425,1956
1598409426,1956
1598409427,10168
1598409428,10168
1598409429,10168
1598409430,10054
1598409431,10054
1598409432,10113
1598409433,26050
1598409434,22178580
1598409435,4349124
1598409436,4356440
1598409437,4363762
1598409438,4369199
1598409439,4372857
1598409440,4372851
1598409441,4372851
1598409442,4372851
1598409443,4373357
1598409444,4373357
1598409446,4347751
1598409446,4347751
1598409447,4347751
1598409448,4347752
1598409449,4347753
1598409450,4347753
1598409451,4347779
1598409452,4347779
1598409453,4347779
1598409454,4347778
1598409455,4347778
1598409456,4347778
1598409457,4348681
1598409458,4348681
1598409459,4348681
1598409460,4348681
1598409461,4348681
1598409462,4348681
1598409463,4348681
1598409464,4348681
1598409465,4348681
1598409466,4348681
1598409467,4348681
1598409468,4348681
1598409469,4348681
1598409470,4348681
1598409471,4348681
1598409472,4348681
1598409473,4348681
1598409474,4348681
1598409475,4348681
1598409476,4348682
1598409477,4348682
1598409478,4348682
1598409479,4348682
1598409480,4348682
1598409481,4348682
1598409482,4348682
1598409483,4348682
1598409484,4348682
1598409485,4348682
1598409486,4348682
1598409487,4348682
1598409488,4348682
1598409489,4348682
1598409490,4348682
1598409491,4348682
1598409492,4348682
1598409493,4348682
1598409494,4348682
1598409495,4348682
1598409496,4348684
1598409497,4348684
1598409498,4348684
1598409499,4348684
1598409500,4348684
1598409501,4348684
1598409502,4348684
1598409503,4348684
1598409504,4348684
1598409505,4348684
1598409506,4348684
1598409507,4348684
1598409508,4348684
1598409509,4348684
1598409510,4348684
1598409511,4348684
1598409512,4348684
1598409513,4348684
1598409514,4348684
1598409515,4348684
1598409516,4348684
1598409517,4348684
1598409518,4348684
1598409519,4348684
1598409520,4348684
1598409521,4348684
1598409522,4348684
1598409523,4348684
1598409524,4348684
1598409525,4348684
1598409526,4348684
1598409527,4348684
1598409528,4348684
1598409529,4348684
1598409530,4348684
1598409531,4348684
1598409532,4348684
1598409533,4348684
1598409534,4348684
1598409535,4348684
1598409536,4348684
1598409537,4348684
1598409538,4348684
