t,value
1598409418,8558
1598409419,18581
1598409420,18581
1598409421,18581
1598409422,18581
1598409423,18581
1598409424,18581
1598409425,18581
1598409426,18581
1598409427,18581
1598409428,18581
1598409429,18581
1598409430,18581
1598409431,18581
1598409432,18581
1598409433,18581
1598409434,18581
1598409435,18581
1598409436,18581
1598409437,18581
1598409438,18581
1598409439,18581
1598409440,18581
1598409441,18581
1598409442,18581
1598409443,18581
1598409444,18581
1598409445,18581
1598409446,18581
1598409447,18581
1598409448,18581
1598409449,18581
1598409450,18581
1598409451,18581
1598409452,18581
1598409453,18581
1598409454,18581
1598409455,18581
1598409456,18581
1598409457,18581
1598409458,18581
1598409459,18581
1598409460,18581
1598409461,18581
1598409462,18581
1598409463,18581
1598409464,18581
1598409465,18581
1598409466,18581
1598409467,18581
1598409468,18581
1598409469,18581
1598409470,18581
1598409471,18581
1598409472,18581
1598409473,18581
1598409474,18581
1598409475,18581
1598409476,18581
1598409477,18581
1598409478,18581
1598409479,18581
1598409480,18581
1598409481,18581
1598409482,18581
1598409483,18581
1598409484,18581
1598409485,18581
1598409486,18581
1598409487,18581
1598409488,18581
1598409489,18581
1598409490,18581
1598409491,18581
1598409492,18581
1598409493,18581
1598409494,18581
1598409495,18581
1598409496,18581
1598409497,18581
1598409498,18581
1598409499,18581
1598409500,18581
1598409501,18581
1598409502,18581
1598409503,18581
1598409504,18581
1598409505,18581
1598409506,18581
1598409507,18581
1598409508,18581
1598409509,18581
1598409510,18581
1598409511,18581
1598409512,18581
1598409513,18581
1598409514,18581
1598409515,18581
1598409516,18581
1598409517,18581
1598409518,18581
1598409519,18581
1598409520,18581
1598409521,18581
1598409522,18581
1598409523,18581
1598409524,18581
1598409525,18581
1598409526,18581
1598409527,18581
1598409528,18581
1598409529,18581
1598409530,18581
1598409531,18581
1598409532,18581
1598409533,18581
1598409534,18581
1598409535,18581
1598409536,18581
1598409537,18581
1598409538,18581
1598409538,18581
