t,value
1598409418,0
1598409419,0
1598409420,0
1598409421,0
1598409422,0
1598409423,0
1598409424,0
1598409425,0
1598409426,0
1598409427,0
1598409428,0
1598409429,0
1598409430,365298
1598409431,365298
1598409432,365298
1598409433,365298
1598409434,365298
1598409435,365298
1598409436,365298
1598409437,365298
1598409438,365298
1598409439,365298
1598409440,365298
1598409441,365298
1598409442,365298
1598409443,365298
1598409444,365298
1598409445,365298
1598409446,365298
1598409447,365298
1598409448,365298
1598409449,365298
1598409450,377283
1598409451,377283
1598409452,377283
1598409453,377283
1598409454,377283
1598409455,377283
1598409456,377283
1598409457,377283
1598409458,377283
1598409459,377283
1598409460,424499
1598409461,424499
1598409462,424499
1598409463,424499
1598409464,424499
1598409465,424499
1598409466,424499
1598409467,424499
1598409468,424499
1598409469,424499
1598409470,512598
1598409471,512598
1598409472,512598
1598409473,512598
1598409474,512598
1598409475,512598
1598409476,512598
1598409477,512598
1598409478,512598
1598409479,512598
1598409480,559783
1598409481,559783
1598409482,559783
1598409483,559783
1598409484,559783
1598409485,559783
1598409486,559783
1598409487,559783
1598409488,559783
1598409489,559783
1598409490,559779
1598409491,559779
1598409492,559779
1598409493,559779
1598409494,559779
1598409495,559779
1598409496,559779
1598409497,559779
1598409498,559779
1598409499,559779
1598409500,512585
1598409501,512585
1598409502,512585
1598409503,512585
1598409504,512585
1598409505,512585
1598409506,512585
1598409507,512585
1598409508,512585
1598409509,512585
1598409510,377304
1598409511,377304
1598409512,377304
1598409513,377304
1598409514,377304
1598409515,377304
1598409516,377304
1598409517,377304
1598409518,377304
1598409519,377304
1598409520,943623
1598409521,943623
1598409522,943623
1598409523,943623
1598409524,943623
1598409525,943623
1598409526,943623
1598409527,943623
1598409528,943623
1598409529,943623
1598409530,890153
1598409531,890153
1598409532,890153
1598409533,890153
1598409534,890153
1598409535,890153
1598409536,890153
1598409537,890153
1598409538,890153
1598409538,890153
