t,count
1598409415,0
1598409416,0
1598409417,0
1598409418,0
1598409419,0
1598409420,100
1598409421,100
1598409422,100
1598409423,100
1598409424,100
1598409425,100
1598409426,100
1598409427,100
1598409428,100
1598409429,100
1598409430,100
1598409431,100
1598409432,100
1598409433,100
1598409434,100
1598409435,100
1598409436,100
1598409437,100
1598409438,100
1598409439,100
1598409440,100
1598409441,100
1598409442,100
1598409443,100
1598409444,100
1598409445,100
1598409446,100
1598409447,100
1598409448,100
1598409449,100
1598409450,100
1598409451,100
1598409452,100
1598409453,100
1598409454,100
1598409455,100
1598409456,100
1598409457,100
1598409458,100
1598409459,100
1598409460,100
1598409461,100
1598409462,100
1598409463,100
1598409464,100
1598409465,100
1598409466,100
1598409467,100
1598409468,100
1598409469,100
1598409470,100
1598409471,100
1598409472,100
1598409473,100
1598409474,100
1598409475,100
1598409476,100
1598409477,100
1598409478,100
1598409479,100
1598409480,100
1598409481,100
1598409482,100
1598409483,100
1598409484,100
1598409485,100
1598409486,100
1598409487,100
1598409488,100
1598409489,100
1598409490,100
1598409491,100
1598409492,100
1598409493,100
1598409494,100
1598409495,100
1598409496,100
1598409497,100
1598409498,100
1598409499,100
1598409500,100
1598409501,100
1598409502,100
1598409503,100
1598409504,100
1598409505,100
1598409506,100
1598409507,100
1598409508,100
1598409509,100
1598409510,100
1598409511,100
1598409512,100
1598409513,100
1598409514,100
1598409515,100
1598409516,100
1598409517,100
1598409518,100
1598409519,100
1598409520,100
1598409521,100
1598409522,100
1598409523,100
1598409524,100
1598409525,100
1598409526,100
1598409527,100
1598409528,100
1598409529,100
1598409530,100
1598409531,100
1598409532,100
1598409533,100
1598409534,100
1598409535,100
1598409536,100
1598409537,100
1598409538,100
1598409538,100
