t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1598409418,3,33.069481,21.118643,10.116194,9.394606,20.170255,33.069481,33.069481,33.069481,33.069481,33.069481,3.144797,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409419,13,33.069481,7.366672,2.398927,8.820234,3.019781,8.467943,33.069481,33.069481,33.069481,33.069481,6.860177,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409420,17,33.069481,7.741043,2.280086,8.656124,3.107757,8.467943,33.069481,33.069481,33.069481,33.069481,5.873955,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409421,17,33.069481,7.741043,2.280086,8.656124,3.107757,8.467943,33.069481,33.069481,33.069481,33.069481,4.366774,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409422,18,33.069481,7.300433,0.075318,8.590996,3.019781,8.467943,33.069481,33.069481,33.069481,33.069481,3.681213,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409423,18,33.069481,7.300433,0.075318,8.590996,3.019781,8.467943,33.069481,33.069481,33.069481,33.069481,3.055857,3.600000,3.600000,3.600000,calls/second,milliseconds
1598409424,21,33.069481,7.988553,0.075318,9.100135,3.135570,8.467943,27.073809,33.069481,33.069481,33.069481,3.050044,3.600000,3.600000,3.600000,calls/second,milliseconds
1598409425,23,33.069481,7.253176,0.048597,8.968645,3.107757,8.467943,27.073809,33.069481,33.069481,33.069481,2.917656,3.600000,3.600000,3.600000,calls/second,milliseconds
1598409426,23,33.069481,7.253176,0.048597,8.968645,3.107757,8.467943,27.073809,33.069481,33.069481,33.069481,2.589283,3.600000,3.600000,3.600000,calls/second,milliseconds
1598409427,38,33.069481,4.519269,0.044599,7.613370,2.399767,4.280419,27.073809,33.069481,33.069481,33.069481,3.842764,3.600000,3.600000,3.600000,calls/second,milliseconds
1598409428,38,33.069481,4.519269,0.044599,7.613370,2.399767,4.280419,27.073809,33.069481,33.069481,33.069481,3.490747,3.631982,3.606611,3.602216,calls/second,milliseconds
1598409429,39,33.069481,4.395714,0.044599,7.542639,2.398927,3.811934,22.526156,33.069481,33.069481,33.069481,3.281335,3.631982,3.606611,3.602216,calls/second,milliseconds
1598409430,44,33.069481,3.857314,0.044599,7.199522,0.266110,3.135570,22.526156,33.069481,33.069481,33.069481,3.414786,3.631982,3.606611,3.602216,calls/second,milliseconds
1598409431,45,33.069481,3.765017,0.044599,7.135052,0.266110,3.135570,22.526156,33.069481,33.069481,33.069481,3.240862,3.631982,3.606611,3.602216,calls/second,milliseconds
1598409432,48,33.069481,3.508355,0.044599,6.943454,0.257381,3.107757,22.526156,27.073809,33.069481,33.069481,3.224922,3.631982,3.606611,3.602216,calls/second,milliseconds
1598409433,52,33.069481,3.211671,0.044599,6.707763,0.246044,3.019781,22.526156,27.073809,33.069481,33.069481,3.272481,3.533478,3.586668,3.595556,calls/second,milliseconds
1598409434,59,33.069481,2.914534,0.038923,6.308608,0.253002,2.763192,20.170255,27.073809,33.069481,33.069481,3.494405,3.533478,3.586668,3.595556,calls/second,milliseconds
1598409435,59,33.069481,2.914534,0.038923,6.308608,0.253002,2.763192,20.170255,27.073809,33.069481,33.069481,3.299067,3.533478,3.586668,3.595556,calls/second,milliseconds
1598409436,59,33.069481,2.914534,0.038923,6.308608,0.253002,2.763192,20.170255,27.073809,33.069481,33.069481,3.124452,3.533478,3.586668,3.595556,calls/second,milliseconds
1598409437,61,33.069481,2.804357,0.038923,6.210655,0.237980,2.763192,20.170255,27.073809,33.069481,33.069481,3.067781,3.533478,3.586668,3.595556,calls/second,milliseconds
1598409438,95,33.069481,1.930736,0.012970,4.968003,0.204178,1.889290,8.467943,22.526156,27.073809,33.069481,4.548284,3.474833,3.573665,3.591148,calls/second,milliseconds
1598409439,99,33.069481,1.863217,0.012970,4.866940,0.200421,1.851789,8.467943,22.526156,27.073809,33.069481,4.522912,3.474833,3.573665,3.591148,calls/second,milliseconds
1598409440,100,33.069481,1.842202,0.012970,4.842962,0.200421,1.851789,6.611729,22.526156,27.073809,33.069481,4.368833,3.474833,3.573665,3.591148,calls/second,milliseconds
1598409441,107,33.069481,1.739201,0.012970,4.675766,0.194173,1.657540,6.611729,22.526156,27.073809,33.069481,4.478963,3.474833,3.573665,3.591148,calls/second,milliseconds
1598409442,123,33.069481,1.548074,0.012970,4.347761,0.099051,1.480257,6.167382,22.526156,27.073809,33.069481,4.942024,3.474833,3.573665,3.591148,calls/second,milliseconds
1598409443,192,33.069481,1.273284,0.012970,3.517793,0.198093,1.234735,4.851797,8.467943,22.526156,33.069481,7.417986,4.140476,3.709635,3.636626,calls/second,milliseconds
1598409444,238,33.069481,1.074882,0.008320,3.160024,0.158564,0.975178,4.280419,6.611729,20.170255,33.069481,8.851416,4.140476,3.709635,3.636626,calls/second,milliseconds
1598409445,297,33.069481,0.973539,0.006301,2.866675,0.179969,0.799831,3.752957,6.611729,10.116194,33.069481,10.651322,4.140476,3.709635,3.636626,calls/second,milliseconds
1598409446,370,33.069481,0.875988,0.006301,2.592403,0.179274,0.748845,3.189201,6.405022,8.467943,33.069481,12.805694,4.140476,3.709635,3.636626,calls/second,milliseconds
1598409447,426,33.069481,0.836607,0.006301,2.453123,0.174259,0.738097,3.107757,6.405022,8.467943,33.069481,14.251664,4.140476,3.709635,3.636626,calls/second,milliseconds
1598409448,471,33.069481,0.809195,0.006301,2.352500,0.174259,0.731987,3.107757,6.240101,8.181592,33.069481,15.249874,8.878606,4.696230,3.967725,calls/second,milliseconds
1598409449,472,33.069481,0.807374,0.006301,2.350080,0.173816,0.731987,3.107757,6.240101,8.181592,33.069481,14.791838,8.878606,4.696230,3.967725,calls/second,milliseconds
1598409450,527,33.069481,0.729782,0.006301,2.223207,0.148089,0.641929,2.826259,6.205554,7.530759,33.069481,16.025305,8.878606,4.696230,3.967725,calls/second,milliseconds
1598409451,539,33.069481,0.723656,0.006301,2.196420,0.151189,0.645309,2.763192,6.205554,7.530759,33.069481,15.905244,8.878606,4.696230,3.967725,calls/second,milliseconds
1598409452,647,33.069481,0.669468,0.005120,2.006911,0.158564,0.640804,2.564126,5.918770,7.021367,33.069481,18.544588,8.878606,4.696230,3.967725,calls/second,milliseconds
1598409453,757,33.069481,0.628714,0.005120,1.859765,0.168093,0.619139,2.473222,4.851797,6.611729,27.073809,21.093406,11.494864,5.306195,4.176213,calls/second,milliseconds
1598409454,869,33.069481,0.593621,0.002848,1.742113,0.159826,0.596388,2.396734,4.636837,6.240101,27.073809,23.555022,11.494864,5.306195,4.176213,calls/second,milliseconds
