t,value
1598409415,32
1598409416,48
1598409417,48
1598409418,58
1598409419,58
1598409420,58
1598409421,58
1598409422,58
1598409423,58
1598409424,58
1598409425,77
1598409426,95
1598409427,95
1598409428,95
1598409429,95
1598409430,95
1598409431,95
1598409432,95
1598409433,95
1598409434,95
1598409435,95
1598409436,95
1598409437,95
1598409438,95
1598409439,95
1598409440,95
1598409441,95
1598409442,95
1598409443,95
1598409444,95
1598409445,95
1598409446,95
1598409447,95
1598409448,95
1598409449,95
1598409450,113
1598409451,113
1598409452,113
1598409453,113
1598409454,113
1598409455,113
1598409456,113
1598409457,113
1598409458,113
1598409459,123
1598409460,123
1598409461,123
1598409462,123
1598409463,123
1598409464,123
1598409465,123
1598409466,123
1598409467,123
1598409468,134
1598409469,134
1598409470,134
1598409471,134
1598409472,134
1598409473,134
1598409474,134
1598409475,134
1598409476,134
1598409477,145
1598409478,145
1598409479,145
1598409480,145
1598409481,145
1598409482,145
1598409483,145
1598409484,145
1598409485,145
1598409486,145
1598409487,145
1598409488,160
1598409489,160
1598409490,160
1598409491,160
1598409492,160
1598409493,160
1598409494,160
1598409495,160
1598409496,160
1598409497,160
1598409498,174
1598409499,174
1598409500,174
1598409501,174
1598409502,174
1598409503,174
1598409504,174
1598409505,174
1598409506,174
1598409507,174
1598409508,174
1598409509,174
1598409510,189
1598409511,189
1598409512,189
1598409513,189
1598409514,189
1598409515,189
1598409516,189
1598409517,189
1598409518,189
1598409519,189
1598409520,189
1598409521,201
1598409522,201
1598409523,201
1598409524,201
1598409525,201
1598409526,201
1598409527,201
1598409528,201
1598409529,201
1598409530,201
1598409531,201
1598409532,201
1598409533,214
1598409534,214
1598409535,214
1598409536,214
1598409537,214
1598409538,214
1598409538,214
