t,value
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,0
1598409621,0
1598409622,0
1598409623,0
1598409624,0
1598409625,0
1598409626,165284210
1598409627,165284210
1598409628,165284210
1598409629,165284210
1598409630,165284210
1598409631,165284210
1598409632,165284210
1598409633,165284210
1598409634,165284210
1598409635,656666445
1598409636,656666445
1598409637,656666445
1598409638,656666445
1598409639,656666445
1598409640,656666445
1598409641,656666445
1598409642,656666445
1598409643,656666445
1598409644,656666445
1598409645,656802073
1598409646,656802073
1598409647,656802073
1598409648,656802073
1598409649,656802073
1598409650,656802073
1598409651,656802073
1598409652,656802073
1598409653,656802073
1598409654,656802073
1598409655,656848093
1598409656,656848093
1598409657,656848093
1598409658,656848093
1598409659,656848093
1598409660,656848093
1598409661,656848093
1598409662,656848093
1598409663,656848093
1598409664,656848093
1598409665,656476711
1598409666,656476711
1598409667,656476711
1598409668,656476711
1598409669,656476711
1598409670,656476711
1598409671,656476711
1598409672,656476711
1598409673,656476711
1598409674,656476711
1598409675,657043239
1598409676,657043239
1598409677,657043239
1598409678,657043239
1598409679,657043239
1598409680,657043239
1598409681,657043239
1598409682,657043239
1598409683,657043239
1598409684,657043239
1598409685,657043197
1598409686,657043197
1598409687,657043197
1598409688,657043197
1598409689,657043197
1598409690,657043197
1598409691,657043197
1598409692,657043197
1598409693,657043197
1598409694,657043197
1598409695,656955091
1598409696,656955091
1598409697,656955091
1598409698,656955091
1598409699,656955091
1598409700,656955091
1598409701,656955091
1598409702,656955091
1598409703,656955091
1598409704,656955091
1598409705,656811603
1598409706,656811603
1598409707,656811603
1598409708,656811603
1598409709,656811603
1598409710,656811603
1598409711,656811603
1598409712,656811603
1598409713,656811603
1598409714,656811603
1598409715,656759975
1598409716,656759975
1598409717,656759975
1598409718,656759975
1598409719,656759975
1598409720,656759975
1598409721,656759975
1598409722,656759975
1598409723,656759975
1598409724,656759975
1598409725,296616651
1598409726,296616651
1598409727,296616651
1598409727,296616651
