t,value
1598409608,6240320
1598409609,6429952
1598409610,6524032
1598409611,6581440
1598409612,6659904
1598409613,6705536
1598409614,6692352
1598409615,6725504
1598409616,7680064
1598409617,7843328
1598409618,7886912
1598409619,9502208
1598409620,10657344
1598409621,12295360
1598409622,12869440
1598409623,14662976
1598409624,15389248
1598409625,15641728
1598409626,16255808
1598409627,16861056
1598409628,16871232
1598409629,16873024
1598409630,16874752
1598409631,17517696
1598409632,16305728
1598409633,16477376
1598409634,16728960
1598409635,16771968
1598409636,16944960
1598409637,17037056
1598409638,17048640
1598409639,17063488
1598409640,17209920
1598409641,17527808
1598409642,17991552
1598409643,18389760
1598409644,18487296
1598409645,18852672
1598409646,19301120
1598409647,19627520
1598409648,19578816
1598409649,19839296
1598409650,20484160
1598409651,20621632
1598409652,20349376
1598409653,20726592
1598409654,20799424
1598409655,20938112
1598409656,21114688
1598409657,21278464
1598409658,21367616
1598409659,21489216
1598409660,21616768
1598409661,21722432
1598409662,21867840
1598409663,21933504
1598409664,22031680
1598409665,22171392
1598409666,22332992
1598409667,22268160
1598409668,22360512
1598409669,22484416
1598409670,22623744
1598409671,22674624
1598409672,22822016
1598409673,22973248
1598409674,23068096
1598409675,23208512
1598409676,23129600
1598409677,23209472
1598409678,23285568
1598409679,23454592
1598409680,23371776
1598409681,23477568
1598409682,23566528
1598409683,23587264
1598409684,23632320
1598409685,23670336
1598409686,23603264
1598409687,23627072
1598409688,23636416
1598409689,23745280
1598409690,23789760
1598409691,23873856
1598409692,24049920
1598409693,24165568
1598409694,24223296
1598409695,24246720
1598409696,24271104
1598409697,24302144
1598409698,24324992
1598409699,24308032
1598409700,24348480
1598409701,24398656
1598409702,24636608
1598409703,24642944
1598409704,24683968
1598409705,24713536
1598409706,24752000
1598409707,24804416
1598409708,24870272
1598409709,25446592
1598409710,25485888
1598409711,25571968
1598409712,25613632
1598409713,25752000
1598409714,25765632
1598409715,25776384
1598409716,25800320
1598409717,25823808
1598409718,25846912
1598409719,25913152
1598409720,25927488
1598409721,25902336
1598409722,26047936
1598409723,26084160
1598409724,26129216
1598409725,26209728
1598409726,26209728
1598409727,26209728
1598409727,26210240
