t,count
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,0
1598409621,0
1598409622,0
1598409624,0
1598409624,0
1598409625,0
1598409627,0
1598409627,0
1598409628,0
1598409629,0
1598409630,0
1598409631,0
1598409632,0
1598409633,0
1598409634,0
1598409635,0
1598409636,0
1598409637,0
1598409638,120
1598409639,140
1598409640,160
1598409641,180
1598409642,200
1598409643,240
1598409644,280
1598409645,320
1598409646,340
1598409647,360
1598409648,400
1598409649,440
1598409650,460
1598409651,480
1598409652,520
1598409653,540
1598409654,560
1598409655,580
1598409656,620
1598409657,660
1598409658,700
1598409659,720
1598409660,780
1598409661,800
1598409662,840
1598409663,880
1598409664,900
1598409665,940
1598409666,960
1598409667,1000
1598409668,1040
1598409669,1060
1598409670,1080
1598409671,1100
1598409672,1120
1598409673,1160
1598409674,1180
1598409675,1200
1598409676,1220
1598409677,1240
1598409678,1300
1598409679,1320
1598409680,1340
1598409681,1380
1598409682,1400
1598409683,1440
1598409684,1480
1598409685,1520
1598409686,1540
1598409687,1560
1598409688,1600
1598409689,1640
1598409690,1660
1598409691,1680
1598409692,1700
1598409693,1780
1598409694,1800
1598409695,1820
1598409696,1860
1598409697,1900
1598409698,1920
1598409699,1960
1598409700,2000
1598409701,2040
1598409702,2060
1598409703,2100
1598409704,2140
1598409705,2160
1598409706,2180
1598409707,2200
1598409708,2220
1598409709,2260
1598409710,2280
1598409711,2300
1598409712,2320
1598409713,2360
1598409714,2400
1598409715,2440
1598409716,2460
1598409717,2480
1598409718,2520
1598409719,2540
1598409720,2580
1598409721,2620
1598409722,2640
1598409723,2660
1598409724,2700
1598409725,2700
1598409726,2700
1598409727,2700
