t,value
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,2
1598409616,2
1598409617,2
1598409618,2
1598409619,2
1598409620,2
1598409621,2
1598409622,2
1598409624,2
1598409624,2
1598409625,4
1598409627,4
1598409627,4
1598409628,4
1598409629,4
1598409630,10
1598409631,16
1598409632,18
1598409633,20
1598409634,26
1598409635,26
1598409636,28
1598409637,28
1598409638,38
1598409639,47
1598409640,56
1598409641,64
1598409642,72
1598409643,79
1598409644,94
1598409645,101
1598409646,109
1598409647,116
1598409648,124
1598409649,130
1598409650,139
1598409651,148
1598409652,163
1598409653,172
1598409654,179
1598409655,188
1598409656,194
1598409657,201
1598409658,208
1598409659,216
1598409660,227
1598409661,237
1598409662,244
1598409663,253
1598409664,261
1598409665,267
1598409666,274
1598409667,288
1598409668,295
1598409669,304
1598409670,312
1598409671,320
1598409672,329
1598409673,344
1598409674,352
1598409675,363
1598409676,370
1598409677,379
1598409678,391
1598409679,399
1598409680,408
1598409681,415
1598409682,424
1598409683,437
1598409684,444
1598409685,452
1598409686,459
1598409687,466
1598409688,479
1598409689,486
1598409690,495
1598409691,502
1598409692,511
1598409693,523
1598409694,534
1598409695,542
1598409696,550
1598409697,556
1598409698,564
1598409699,578
1598409700,584
1598409701,593
1598409702,601
1598409703,609
1598409704,624
1598409705,634
1598409706,642
1598409707,650
1598409708,659
1598409709,674
1598409710,683
1598409711,691
1598409712,699
1598409713,711
1598409714,719
1598409715,727
1598409716,734
1598409717,742
1598409718,756
1598409719,764
1598409720,774
1598409721,782
1598409722,791
1598409723,800
1598409724,808
1598409725,808
1598409726,808
1598409727,808
