t,value
1598409607,3
1598409608,3
1598409609,3
1598409610,3
1598409611,3
1598409612,3
1598409613,3
1598409614,3
1598409615,3
1598409616,3
1598409617,3
1598409618,4
1598409619,5
1598409620,6
1598409621,7
1598409622,10
1598409624,13
1598409624,15
1598409625,16
1598409627,17
1598409627,17
1598409628,18
1598409629,19
1598409630,20
1598409631,21
1598409632,21
1598409633,22
1598409634,22
1598409635,22
1598409636,22
1598409637,23
1598409638,23
1598409639,23
1598409640,23
1598409641,24
1598409642,24
1598409643,24
1598409644,24
1598409645,25
1598409646,25
1598409647,25
1598409648,26
1598409649,26
1598409650,26
1598409651,26
1598409652,27
1598409653,27
1598409654,27
1598409655,28
1598409656,28
1598409657,28
1598409658,28
1598409659,29
1598409660,29
1598409661,29
1598409662,29
1598409663,30
1598409664,30
1598409665,30
1598409666,30
1598409667,31
1598409668,31
1598409669,31
1598409670,32
1598409671,32
1598409672,32
1598409673,32
1598409674,33
1598409675,33
1598409676,33
1598409677,33
1598409678,34
1598409679,34
1598409680,34
1598409681,35
1598409682,35
1598409683,35
1598409684,35
1598409685,36
1598409686,36
1598409687,36
1598409688,36
1598409689,37
1598409690,37
1598409691,37
1598409692,38
1598409693,38
1598409694,38
1598409695,38
1598409696,39
1598409697,39
1598409698,39
1598409699,39
1598409700,40
1598409701,40
1598409702,40
1598409703,40
1598409704,41
1598409705,41
1598409706,41
1598409707,42
1598409708,42
1598409709,42
1598409710,42
1598409711,43
1598409712,43
1598409713,43
1598409714,43
1598409715,44
1598409716,44
1598409717,44
1598409718,44
1598409719,45
1598409720,45
1598409721,45
1598409722,45
1598409723,46
1598409724,46
1598409725,46
1598409726,46
1598409727,46
