t,value
1598409607,4382152
1598409608,4390528
1598409609,4391080
1598409610,4391080
1598409611,4391080
1598409612,4419232
1598409613,4419232
1598409614,4420888
1598409615,4510968
1598409616,4520760
1598409617,4521240
1598409618,5334704
1598409619,6635096
1598409620,7148760
1598409621,8181048
1598409622,8275240
1598409624,8244560
1598409624,8250088
1598409625,8301856
1598409627,8302344
1598409627,8302896
1598409628,8303872
1598409629,8304424
1598409630,8415000
1598409631,8431096
1598409632,8431648
1598409633,8462504
1598409634,8465192
1598409635,8735768
1598409636,9284440
1598409637,9284440
1598409638,9486784
1598409639,9486784
1598409640,9487888
1598409641,9488992
1598409642,9488992
1598409643,9488992
1598409644,9488992
1598409645,9495728
1598409646,9496208
1598409647,9496208
1598409648,9496672
1598409649,9497200
1598409650,9497200
1598409651,9497200
1598409652,9498808
1598409653,9498808
1598409654,9499288
1598409655,9499288
1598409656,9499288
1598409657,9499288
1598409658,9499816
1598409659,9499816
1598409660,9501928
1598409661,9507208
1598409662,9507208
1598409663,9507208
1598409664,9507736
1598409665,9507736
1598409666,9508264
1598409667,9508792
1598409668,9508792
1598409669,9508792
1598409670,9508792
1598409671,9508792
1598409672,9508792
1598409673,9508792
1598409674,9508792
1598409675,9508792
1598409676,9508792
1598409677,9508792
1598409678,9508792
1598409679,9508792
1598409680,9508792
1598409681,9508792
1598409682,9508792
1598409683,9508792
1598409684,9508792
1598409685,9508792
1598409686,9508792
1598409687,9508792
1598409688,9508792
1598409689,9508792
1598409690,9508792
1598409691,9508792
1598409692,9508792
1598409693,9508792
1598409694,9508792
1598409695,9508792
1598409696,9508792
1598409697,9508792
1598409698,9508792
1598409699,9508792
1598409700,9508792
1598409701,9508792
1598409702,9508792
1598409703,9508792
1598409704,9508792
1598409705,9508792
1598409706,9508792
1598409707,9508792
1598409708,9508792
1598409709,9508792
1598409710,9508792
1598409711,9508792
1598409712,9508792
1598409713,9508792
1598409714,9508792
1598409715,9508792
1598409716,9508792
1598409717,9508792
1598409718,9508792
1598409719,9508792
1598409720,9508792
1598409721,9508792
1598409722,9508792
1598409723,9508792
1598409724,9518248
1598409725,9518248
1598409726,9518248
1598409727,9525752
