t,value
1598409607,189792256
1598409608,189792256
1598409609,189792256
1598409610,189792256
1598409611,189792256
1598409612,189792256
1598409613,189792256
1598409614,189792256
1598409615,189792256
1598409616,189792256
1598409617,189792256
1598409618,192937984
1598409619,192937984
1598409620,285212672
1598409621,285212672
1598409622,285212672
1598409624,566231040
1598409624,566231040
1598409625,566231040
1598409627,989331456
1598409627,989331456
1598409628,989331456
1598409629,989331456
1598409630,989331456
1598409631,1380974592
1598409632,1380974592
1598409633,1380974592
1598409634,1380974592
1598409635,1380974592
1598409636,1380974592
1598409637,1380974592
1598409638,1380974592
1598409639,1380974592
1598409640,1380974592
1598409641,1380974592
1598409642,1380974592
1598409643,1380974592
1598409644,1380974592
1598409645,1380974592
1598409646,1380974592
1598409647,1380974592
1598409648,1380974592
1598409649,1380974592
1598409650,1380974592
1598409651,1380974592
1598409652,1380974592
1598409653,1380974592
1598409654,1380974592
1598409655,1380974592
1598409656,1380974592
1598409657,1380974592
1598409658,1380974592
1598409659,1380974592
1598409660,1380974592
1598409661,1380974592
1598409662,1380974592
1598409663,1380974592
1598409664,1380974592
1598409665,1380974592
1598409666,1380974592
1598409667,1380974592
1598409668,1380974592
1598409669,1380974592
1598409670,1380974592
1598409671,1380974592
1598409672,1380974592
1598409673,1380974592
1598409674,1380974592
1598409675,1380974592
1598409676,1380974592
1598409677,1380974592
1598409678,1380974592
1598409679,1380974592
1598409680,1380974592
1598409681,1380974592
1598409682,1380974592
1598409683,1380974592
1598409684,1380974592
1598409685,1380974592
1598409686,1380974592
1598409687,1380974592
1598409688,1380974592
1598409689,1380974592
1598409690,1380974592
1598409691,1380974592
1598409692,1380974592
1598409693,1380974592
1598409694,1380974592
1598409695,1380974592
1598409696,1380974592
1598409697,1380974592
1598409698,1380974592
1598409699,1380974592
1598409700,1380974592
1598409701,1380974592
1598409702,1380974592
1598409703,1380974592
1598409704,1380974592
1598409705,1380974592
1598409706,1380974592
1598409707,1380974592
1598409708,1380974592
1598409709,1380974592
1598409710,1380974592
1598409711,1380974592
1598409712,1380974592
1598409713,1380974592
1598409714,1380974592
1598409715,1380974592
1598409716,1380974592
1598409717,1380974592
1598409718,1380974592
1598409719,1380974592
1598409720,1380974592
1598409721,1380974592
1598409722,1380974592
1598409723,1380974592
1598409724,1380974592
1598409725,1380974592
1598409726,1380974592
1598409727,1380974592
