t,value
1598409607,26
1598409608,26
1598409609,26
1598409610,26
1598409611,26
1598409612,26
1598409613,26
1598409614,26
1598409615,26
1598409616,32
1598409617,32
1598409618,38
1598409619,48
1598409620,66
1598409621,115
1598409622,202
1598409623,286
1598409624,352
1598409625,433
1598409626,493
1598409628,555
1598409628,555
1598409629,555
1598409630,555
1598409631,599
1598409632,599
1598409633,652
1598409634,652
1598409635,652
1598409636,656
1598409637,656
1598409638,656
1598409639,656
1598409640,661
1598409641,661
1598409642,661
1598409643,661
1598409644,666
1598409645,666
1598409646,666
1598409647,666
1598409648,672
1598409649,672
1598409650,672
1598409651,677
1598409652,677
1598409653,677
1598409654,677
1598409655,683
1598409656,683
1598409657,683
1598409658,683
1598409659,689
1598409660,689
1598409661,689
1598409662,689
1598409663,695
1598409664,695
1598409665,695
1598409666,701
1598409667,701
1598409668,701
1598409669,701
1598409670,707
1598409671,707
1598409672,707
1598409673,707
1598409674,713
1598409675,713
1598409676,713
1598409677,713
1598409678,719
1598409679,719
1598409680,719
1598409681,726
1598409682,726
1598409683,726
1598409684,726
1598409685,731
1598409686,731
1598409687,731
1598409688,731
1598409689,737
1598409690,737
1598409691,737
1598409692,737
1598409693,744
1598409694,744
1598409695,744
1598409696,744
1598409697,750
1598409698,750
1598409699,750
1598409700,750
1598409701,755
1598409702,755
1598409703,755
1598409704,755
1598409705,761
1598409706,761
1598409707,761
1598409708,761
1598409709,766
1598409710,766
1598409711,766
1598409712,766
1598409713,772
1598409714,772
1598409715,772
1598409716,772
1598409717,778
1598409718,778
1598409719,778
1598409720,778
1598409721,783
1598409722,783
1598409723,783
1598409724,788
1598409725,788
1598409726,788
1598409727,788
