t,value
1598409607,21495808
1598409608,21495808
1598409609,21495808
1598409610,21495808
1598409611,21495808
1598409612,21495808
1598409613,21495808
1598409614,21495808
1598409615,21495808
1598409616,13107200
1598409617,13107200
1598409618,9437184
1598409619,14155776
1598409620,15728640
1598409621,90701824
1598409622,102236160
1598409623,148897792
1598409624,157286400
1598409625,166723584
1598409626,192413696
1598409628,138936320
1598409628,138936320
1598409629,138936320
1598409630,138936320
1598409631,210239488
1598409632,210239488
1598409633,217055232
1598409634,217055232
1598409635,217055232
1598409636,213909504
1598409637,213909504
1598409638,213909504
1598409639,213909504
1598409640,215482368
1598409641,215482368
1598409642,215482368
1598409643,215482368
1598409644,208666624
1598409645,208666624
1598409646,208666624
1598409647,208666624
1598409648,211812352
1598409649,211812352
1598409650,211812352
1598409651,198180864
1598409652,198180864
1598409653,198180864
1598409654,198180864
1598409655,202375168
1598409656,202375168
1598409657,202375168
1598409658,202375168
1598409659,183500800
1598409660,183500800
1598409661,183500800
1598409662,183500800
1598409663,188743680
1598409664,188743680
1598409665,188743680
1598409666,165150720
1598409667,165150720
1598409668,165150720
1598409669,165150720
1598409670,173539328
1598409671,173539328
1598409672,173539328
1598409673,173539328
1598409674,145227776
1598409675,145227776
1598409676,145227776
1598409677,145227776
1598409678,156762112
1598409679,156762112
1598409680,156762112
1598409681,131072000
1598409682,131072000
1598409683,131072000
1598409684,131072000
1598409685,140509184
1598409686,140509184
1598409687,140509184
1598409688,140509184
1598409689,116916224
1598409690,116916224
1598409691,116916224
1598409692,116916224
1598409693,125304832
1598409694,125304832
1598409695,125304832
1598409696,125304832
1598409697,103809024
1598409698,103809024
1598409699,103809024
1598409700,103809024
1598409701,111149056
1598409702,111149056
1598409703,111149056
1598409704,111149056
1598409705,90701824
1598409706,90701824
1598409707,90701824
1598409708,90701824
1598409709,98041856
1598409710,98041856
1598409711,98041856
1598409712,98041856
1598409713,79691776
1598409714,79691776
1598409715,79691776
1598409716,79691776
1598409717,85983232
1598409718,85983232
1598409719,85983232
1598409720,85983232
1598409721,69730304
1598409722,69730304
1598409723,69730304
1598409724,74973184
1598409725,74973184
1598409726,74973184
1598409727,74973184
