t,value
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,4
1598409619,4
1598409620,4
1598409621,4
1598409622,4
1598409623,4
1598409624,4
1598409625,4
1598409626,4
1598409627,4
1598409628,16
1598409629,16
1598409630,16
1598409631,16
1598409632,16
1598409633,16
1598409634,16
1598409635,16
1598409636,16
1598409637,16
1598409638,20
1598409639,20
1598409640,20
1598409641,20
1598409642,20
1598409643,20
1598409644,20
1598409645,20
1598409646,20
1598409647,20
1598409648,23
1598409649,23
1598409650,23
1598409651,23
1598409652,23
1598409653,23
1598409654,23
1598409655,23
1598409656,23
1598409657,23
1598409658,26
1598409659,26
1598409660,26
1598409661,26
1598409662,26
1598409663,26
1598409664,26
1598409665,26
1598409666,26
1598409667,26
1598409668,28
1598409669,28
1598409670,28
1598409671,28
1598409672,28
1598409673,28
1598409674,28
1598409675,28
1598409676,28
1598409677,28
1598409678,31
1598409679,31
1598409680,31
1598409681,31
1598409682,31
1598409683,31
1598409684,31
1598409685,31
1598409686,31
1598409687,31
1598409688,34
1598409689,34
1598409690,34
1598409691,34
1598409692,34
1598409693,34
1598409694,34
1598409695,34
1598409696,34
1598409697,34
1598409698,36
1598409699,36
1598409700,36
1598409701,36
1598409702,36
1598409703,36
1598409704,36
1598409705,36
1598409706,36
1598409707,36
1598409708,39
1598409709,39
1598409710,39
1598409711,39
1598409712,39
1598409713,39
1598409714,39
1598409715,39
1598409716,39
1598409717,39
1598409718,42
1598409719,42
1598409720,42
1598409721,42
1598409722,42
1598409723,42
1598409724,42
1598409725,42
1598409726,42
1598409727,42
