t,count
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,0
1598409621,0
1598409622,0
1598409623,0
1598409624,0
1598409625,0
1598409626,0
1598409627,0
1598409628,0
1598409629,0
1598409630,0
1598409631,0
1598409632,0
1598409633,0
1598409634,0
1598409635,0
1598409636,0
1598409637,0
1598409638,16
1598409639,24
1598409640,32
1598409641,36
1598409642,40
1598409643,44
1598409644,48
1598409645,56
1598409646,60
1598409647,64
1598409648,68
1598409649,72
1598409650,76
1598409651,84
1598409652,92
1598409653,108
1598409654,112
1598409655,116
1598409656,120
1598409657,124
1598409658,128
1598409659,132
1598409660,136
1598409661,144
1598409662,148
1598409663,152
1598409664,156
1598409665,160
1598409666,164
1598409667,168
1598409668,180
1598409669,188
1598409670,196
1598409671,204
1598409672,208
1598409673,220
1598409674,224
1598409675,232
1598409676,236
1598409677,240
1598409678,244
1598409679,260
1598409680,268
1598409681,272
1598409682,276
1598409683,284
1598409684,288
1598409685,292
1598409686,300
1598409687,304
1598409688,312
1598409689,324
1598409690,332
1598409691,336
1598409692,340
1598409693,344
1598409694,356
1598409695,360
1598409696,364
1598409697,368
1598409698,376
1598409699,384
1598409700,388
1598409701,392
1598409702,400
1598409703,404
1598409704,416
1598409705,420
1598409706,424
1598409707,432
1598409708,436
1598409709,444
1598409710,452
1598409711,456
1598409712,460
1598409713,464
1598409714,472
1598409715,476
1598409716,484
1598409717,492
1598409718,496
1598409719,504
1598409720,508
1598409721,512
1598409722,516
1598409723,524
1598409724,528
1598409725,528
1598409726,528
1598409727,528
