t,value
1598409607,526385152
1598409608,526385152
1598409609,526385152
1598409610,526385152
1598409611,526385152
1598409612,526385152
1598409613,526385152
1598409614,526385152
1598409615,526385152
1598409616,526385152
1598409617,526385152
1598409618,526385152
1598409619,526385152
1598409620,526385152
1598409621,526385152
1598409622,526385152
1598409623,526385152
1598409624,526385152
1598409625,526385152
1598409626,526385152
1598409627,526385152
1598409628,526385152
1598409629,526385152
1598409630,526385152
1598409631,526385152
1598409632,526385152
1598409633,526385152
1598409634,526385152
1598409635,526385152
1598409636,526385152
1598409637,526385152
1598409638,526385152
1598409639,526385152
1598409640,526385152
1598409641,526385152
1598409642,526385152
1598409643,526385152
1598409644,526385152
1598409645,526385152
1598409646,526385152
1598409647,526385152
1598409648,526385152
1598409649,526385152
1598409650,526385152
1598409651,526385152
1598409652,526385152
1598409653,526385152
1598409654,526385152
1598409655,526385152
1598409656,526385152
1598409657,526385152
1598409658,526385152
1598409659,526385152
1598409660,526385152
1598409661,526385152
1598409662,526385152
1598409663,526385152
1598409664,526385152
1598409665,526385152
1598409666,526385152
1598409667,526385152
1598409668,526385152
1598409669,526385152
1598409670,526385152
1598409671,526385152
1598409672,526385152
1598409673,526385152
1598409674,526385152
1598409675,526385152
1598409676,526385152
1598409677,526385152
1598409678,526385152
1598409679,526385152
1598409680,526385152
1598409681,526385152
1598409682,526385152
1598409683,526385152
1598409684,526385152
1598409685,526385152
1598409686,526385152
1598409687,526385152
1598409688,526385152
1598409689,526385152
1598409690,526385152
1598409691,526385152
1598409692,526385152
1598409693,526385152
1598409694,526385152
1598409695,526385152
1598409696,526385152
1598409697,526385152
1598409698,526385152
1598409699,526385152
1598409700,526385152
1598409701,526385152
1598409702,526385152
1598409703,526385152
1598409704,526385152
1598409705,526385152
1598409706,526385152
1598409707,526385152
1598409708,526385152
1598409709,526385152
1598409710,526385152
1598409711,526385152
1598409712,526385152
1598409713,526385152
1598409714,526385152
1598409715,526385152
1598409716,526385152
1598409717,526385152
1598409718,526385152
1598409719,526385152
1598409720,526385152
1598409721,526385152
1598409722,526385152
1598409723,526385152
1598409724,526385152
1598409725,526385152
1598409726,526385152
1598409727,526385152
