t,value
1598409607,-4.3948112E7
1598409608,-4.3263808E7
1598409609,-4.3389024E7
1598409610,-4.352936E7
1598409611,-4.3591376E7
1598409612,-4.3873208E7
1598409613,-4.3903096E7
1598409614,-4.3949176E7
1598409615,-4.573016E7
1598409616,-4.6097048E7
1598409617,-4.6138792E7
1598409618,-5.6000288E7
1598409619,-6.7033472E7
1598409620,-7.6627872E7
1598409621,-8.3896728E7
1598409622,-8.8854528E7
1598409623,-8.962848E7
1598409624,-9.0180656E7
1598409625,-9.1740536E7
1598409626,-9.2153344E7
1598409627,-9.2630112E7
1598409628,-9.2285616E7
1598409629,-9.1198448E7
1598409630,-9.2372392E7
1598409631,-9.3252544E7
1598409632,-9.3265568E7
1598409633,-9.3924928E7
1598409634,-9.411044E7
1598409635,-9.6231432E7
1598409636,-1.00973272E8
1598409637,-1.0081936E8
1598409638,-1.02259944E8
1598409639,-1.0289648E8
1598409640,-1.03365296E8
1598409641,-1.04016968E8
1598409642,-1.04472728E8
1598409643,-1.04827608E8
1598409644,-1.04900288E8
1598409645,-1.05458344E8
1598409646,-1.0604528E8
1598409647,-1.06542976E8
1598409648,-1.0672516E8
1598409649,-1.06997712E8
1598409650,-1.07383512E8
1598409651,-1.07297288E8
1598409652,-1.07519552E8
1598409653,-1.07923152E8
1598409654,-1.0779116E8
1598409655,-1.08093888E8
1598409656,-1.08184224E8
1598409657,-1.08150856E8
1598409658,-1.08435856E8
1598409659,-1.08388056E8
1598409660,-1.08524152E8
1598409661,-1.08758272E8
1598409662,-1.0878672E8
1598409663,-1.09048304E8
1598409664,-1.09360312E8
1598409665,-1.09652976E8
1598409666,-1.09805768E8
1598409667,-1.0993628E8
1598409668,-1.10087656E8
1598409669,-1.1014436E8
1598409670,-1.10277672E8
1598409671,-1.10427536E8
1598409672,-1.10487256E8
1598409673,-1.10636488E8
1598409674,-1.10714736E8
1598409675,-1.10744896E8
1598409676,-1.10800144E8
1598409677,-1.10903616E8
1598409678,-1.1097988E8
1598409679,-1.11223032E8
1598409680,-1.1127012E8
1598409681,-1.11390648E8
1598409682,-1.11453488E8
1598409683,-1.11521344E8
1598409684,-1.1154664E8
1598409685,-1.11590336E8
1598409686,-1.11669336E8
1598409687,-1.11769928E8
1598409688,-1.1191364E8
1598409689,-1.12045384E8
1598409690,-1.12108712E8
1598409691,-1.1204332E8
1598409692,-1.12015624E8
1598409693,-1.12928512E8
1598409694,-1.13052008E8
1598409695,-1.13141816E8
1598409696,-1.13197328E8
1598409697,-1.13266336E8
1598409698,-1.1340172E8
1598409699,-1.13453232E8
1598409700,-1.133594E8
1598409701,-1.134342E8
1598409702,-1.13450008E8
1598409703,-1.13547512E8
1598409704,-1.1364948E8
1598409705,-1.13704064E8
1598409706,-1.13795648E8
1598409707,-1.1401088E8
1598409708,-1.1404072E8
1598409709,-1.14193992E8
1598409710,-1.14231728E8
1598409711,-1.14255704E8
1598409712,-1.14259736E8
1598409713,-1.14278744E8
1598409714,-1.14309912E8
1598409715,-1.14356848E8
1598409716,-1.1438824E8
1598409717,-1.14399768E8
1598409718,-1.14401264E8
1598409719,-1.14315968E8
1598409720,-1.14460416E8
1598409721,-1.14654008E8
1598409722,-1.14693656E8
1598409723,-1.14717128E8
1598409724,-1.14899872E8
1598409725,-1.14899872E8
1598409726,-1.14901816E8
1598409727,-1.1495428E8
