t,value
1598409607,34078720
1598409608,34340864
1598409609,34340864
1598409610,34340864
1598409611,34340864
1598409612,34603008
1598409613,34603008
1598409614,34603008
1598409615,35389440
1598409616,35520512
1598409617,35520512
1598409618,45613056
1598409619,57540608
1598409620,67592192
1598409621,73228288
1598409622,76242944
1598409623,76505088
1598409624,76505088
1598409625,76767232
1598409626,77029376
1598409627,77029376
1598409628,77029376
1598409629,77029376
1598409630,77291520
1598409631,77553664
1598409632,77553664
1598409633,77553664
1598409634,77553664
1598409635,78209024
1598409636,82141184
1598409637,82141184
1598409638,83189760
1598409639,83320832
1598409640,83582976
1598409641,83582976
1598409642,83582976
1598409643,83582976
1598409644,83582976
1598409645,83845120
1598409646,83845120
1598409647,83845120
1598409648,84107264
1598409649,84107264
1598409650,84107264
1598409651,84107264
1598409652,84107264
1598409653,84107264
1598409654,84369408
1598409655,84369408
1598409656,84369408
1598409657,84369408
1598409658,84369408
1598409659,84369408
1598409660,84369408
1598409661,84369408
1598409662,84369408
1598409663,84369408
1598409664,84631552
1598409665,84631552
1598409666,84631552
1598409667,84631552
1598409668,84631552
1598409669,84631552
1598409670,84631552
1598409671,84631552
1598409672,84631552
1598409673,84631552
1598409674,84631552
1598409675,84631552
1598409676,84631552
1598409677,84631552
1598409678,84631552
1598409679,84893696
1598409680,84893696
1598409681,84893696
1598409682,84893696
1598409683,84893696
1598409684,84893696
1598409685,84893696
1598409686,84893696
1598409687,84893696
1598409688,84893696
1598409689,84893696
1598409690,84893696
1598409691,84893696
1598409692,84893696
1598409693,85155840
1598409694,85155840
1598409695,85155840
1598409696,85155840
1598409697,85155840
1598409698,85155840
1598409699,85155840
1598409700,85155840
1598409701,85155840
1598409702,85155840
1598409703,85155840
1598409704,85155840
1598409705,85155840
1598409706,85155840
1598409707,85155840
1598409708,85155840
1598409709,85155840
1598409710,85155840
1598409711,85155840
1598409712,85155840
1598409713,85155840
1598409714,85155840
1598409715,85417984
1598409716,85417984
1598409717,85417984
1598409718,85417984
1598409719,85417984
1598409720,85417984
1598409721,85417984
1598409722,85417984
1598409723,85417984
1598409724,85417984
1598409725,85417984
1598409726,85417984
1598409727,85417984
