t,value
1598409607,7007392
1598409608,7007392
1598409609,7007392
1598409610,7007392
1598409611,7007392
1598409612,7007392
1598409613,7007392
1598409614,7007392
1598409615,7007392
1598409616,7007392
1598409617,7007392
1598409618,10207136
1598409619,10207136
1598409620,20598160
1598409621,20598160
1598409622,20598160
1598409623,20598160
1598409624,239984712
1598409625,239984712
1598409626,239984712
1598409627,239984712
1598409628,239984712
1598409629,690528576
1598409630,690528576
1598409631,690528576
1598409632,690528576
1598409633,690528576
1598409634,690528576
1598409635,690528576
1598409636,690528576
1598409637,690528576
1598409638,690528576
1598409639,690528576
1598409640,690528576
1598409641,690528576
1598409642,690528576
1598409643,690528576
1598409644,690528576
1598409645,690528576
1598409646,690528576
1598409647,690528576
1598409648,690528576
1598409649,690528576
1598409650,690528576
1598409651,690528576
1598409652,690528576
1598409653,690528576
1598409654,690528576
1598409655,690528576
1598409656,690528576
1598409657,690528576
1598409658,690528576
1598409659,690528576
1598409660,690528576
1598409661,690528576
1598409662,690528576
1598409663,690528576
1598409664,690528576
1598409665,690528576
1598409666,690528576
1598409667,690528576
1598409668,690528576
1598409669,690528576
1598409670,690528576
1598409671,690528576
1598409672,690528576
1598409673,690528576
1598409674,690528576
1598409675,690528576
1598409676,690528576
1598409677,690528576
1598409678,690528576
1598409679,690528576
1598409680,690528576
1598409681,690528576
1598409682,690528576
1598409683,690528576
1598409684,690528576
1598409685,690528576
1598409686,690528576
1598409687,690528576
1598409688,690528576
1598409689,690528576
1598409690,690528576
1598409691,690528576
1598409692,690528576
1598409693,690528576
1598409694,690528576
1598409695,690528576
1598409696,690528576
1598409697,690528576
1598409698,690528576
1598409699,690528576
1598409700,690528576
1598409701,690528576
1598409702,690528576
1598409703,690528576
1598409704,690528576
1598409705,690528576
1598409706,690528576
1598409707,690528576
1598409708,690528576
1598409709,690528576
1598409710,690528576
1598409711,690528576
1598409712,690528576
1598409713,690528576
1598409714,690528576
1598409715,690528576
1598409716,690528576
1598409717,690528576
1598409718,690528576
1598409719,690528576
1598409720,690528576
1598409721,690528576
1598409722,690528576
1598409723,690528576
1598409724,690528576
1598409725,690528576
1598409726,690528576
1598409727,690528576
