t,value
1598409607,73240808
1598409608,75486384
1598409609,76975136
1598409610,79724152
1598409611,81099680
1598409612,86000928
1598409613,87358384
1598409614,90036272
1598409615,105894544
1598409616,111214656
1598409617,113897392
1598409618,196386416
1598409619,186399376
1598409620,195614112
1598409621,327825392
1598409622,650959128
1598409623,681413960
1598409624,523329032
1598409625,1091454336
1598409626,1426215640
1598409627,1617594648
1598409628,1635196984
1598409629,818678600
1598409630,1358069936
1598409631,1563994544
1598409632,1565832488
1598409633,1479445688
1598409634,1697275728
1598409635,1026960464
1598409636,1309629416
1598409637,1441151992
1598409638,1538193704
1598409639,1793596840
1598409640,1126134312
1598409641,1424252896
1598409642,1705626376
1598409643,992444136
1598409644,1233326512
1598409645,1495732320
1598409646,1801116264
1598409647,1117927184
1598409648,1404023616
1598409649,1671564656
1598409650,1031563488
1598409651,1280921472
1598409652,1520355632
1598409653,1753433904
1598409654,1080247152
1598409655,1447061856
1598409656,1673581512
1598409657,977691272
1598409658,1256060136
1598409659,1513160400
1598409660,1742512328
1598409661,1001128616
1598409662,1281540000
1598409663,1581249384
1598409664,922023896
1598409665,1188348888
1598409666,1438926280
1598409667,1675116688
1598409668,943741936
1598409669,1241679920
1598409670,1519777032
1598409671,1817365344
1598409672,1035562656
1598409673,1281127712
1598409674,1565275992
1598409675,1890278520
1598409676,1146974008
1598409677,1430777656
1598409678,1654431552
1598409679,926123984
1598409680,1236114552
1598409681,1535506584
1598409682,1793912664
1598409683,989624984
1598409684,1290620128
1598409685,1591736976
1598409686,1904715528
1598409687,1102725376
1598409688,1343668224
1598409689,1605450024
1598409690,1897658416
1598409691,1157191024
1598409692,1440749120
1598409693,1673132208
1598409694,1905377048
1598409695,1140003720
1598409696,1457803024
1598409697,1775511768
1598409698,949849936
1598409699,1183989208
1598409700,1481454192
1598409701,1778725936
1598409702,1035586968
1598409703,1271440208
1598409704,1507933440
1598409705,1828631688
1598409706,1057342752
1598409707,1357078224
1598409708,1592934568
1598409709,1831636800
1598409710,1068904952
1598409711,1358997336
1598409712,1691563120
1598409713,1917527072
1598409714,1091332160
1598409715,1392642152
1598409716,1725797480
1598409717,920214896
1598409718,1148320280
1598409719,1420089560
1598409720,1723655800
1598409721,930779160
1598409722,1222672720
1598409723,1460884536
1598409724,931032128
1598409725,932869208
1598409726,934769096
1598409727,965362680
