t,value
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,0
1598409621,0
1598409622,0
1598409623,0
1598409625,0
1598409625,0
1598409626,92908904
1598409627,92908904
1598409628,92908904
1598409629,92908904
1598409630,92908904
1598409632,92908904
1598409632,92908904
1598409633,92908904
1598409634,92908904
1598409635,92908904
1598409636,101794936
1598409637,101794936
1598409638,101794936
1598409639,101794936
1598409640,101794936
1598409641,101794936
1598409642,101794936
1598409643,101794936
1598409644,101794936
1598409645,101794936
1598409646,107344888
1598409647,107344888
1598409648,107344888
1598409649,107344888
1598409650,107344888
1598409651,107344888
1598409652,107344888
1598409653,107344888
1598409654,107344888
1598409655,107344888
1598409656,109402664
1598409657,109402664
1598409658,109402664
1598409659,109402664
1598409660,109402664
1598409661,109402664
1598409662,109402664
1598409663,109402664
1598409664,109402664
1598409665,109402664
1598409666,111457808
1598409667,111457808
1598409668,111457808
1598409669,111457808
1598409670,111457808
1598409671,111457808
1598409672,111457808
1598409673,111457808
1598409674,111457808
1598409675,111457808
1598409676,112580592
1598409677,112580592
1598409678,112580592
1598409679,112580592
1598409680,112580592
1598409681,112580592
1598409682,112580592
1598409683,112580592
1598409684,112580592
1598409685,112580592
1598409686,113958920
1598409687,113958920
1598409688,113958920
1598409689,113958920
1598409690,113958920
1598409691,113958920
1598409692,113958920
1598409693,113958920
1598409694,113958920
1598409695,113958920
1598409696,115225192
1598409697,115225192
1598409698,115225192
1598409699,115225192
1598409700,115225192
1598409701,115225192
1598409702,115225192
1598409703,115225192
1598409704,115225192
1598409705,115225192
1598409706,115757400
1598409707,115757400
1598409708,115757400
1598409709,115757400
1598409710,115757400
1598409711,115757400
1598409712,115757400
1598409713,115757400
1598409714,115757400
1598409715,115757400
1598409716,116255112
1598409717,116255112
1598409718,116255112
1598409719,116255112
1598409720,116255112
1598409721,116255112
1598409722,116255112
1598409723,116255112
1598409724,116255112
1598409725,116255112
1598409726,129921856
1598409727,129921856
