t,value
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,0
1598409621,0
1598409622,0
1598409623,0
1598409625,0
1598409625,0
1598409626,1419664351
1598409627,1419664351
1598409628,1419664351
1598409629,1419664351
1598409630,1419664351
1598409632,1419664351
1598409632,1419664351
1598409633,1419664351
1598409634,1419664351
1598409635,1419664351
1598409636,1968483097
1598409637,1968483097
1598409638,1968483097
1598409639,1968483097
1598409640,1968483097
1598409641,1968483097
1598409642,1968483097
1598409643,1968483097
1598409644,1968483097
1598409645,1968483097
1598409646,1968483134
1598409647,1968483134
1598409648,1968483134
1598409649,1968483134
1598409650,1968483134
1598409651,1968483134
1598409652,1968483134
1598409653,1968483134
1598409654,1968483134
1598409655,1968483134
1598409656,1968526372
1598409657,1968526372
1598409658,1968526372
1598409659,1968526372
1598409660,1968526372
1598409661,1968526372
1598409662,1968526372
1598409663,1968526372
1598409664,1968526372
1598409665,1968526372
1598409666,1968571256
1598409667,1968571256
1598409668,1968571256
1598409669,1968571256
1598409670,1968571256
1598409671,1968571256
1598409672,1968571256
1598409673,1968571256
1598409674,1968571256
1598409675,1968571256
1598409676,1968571251
1598409677,1968571251
1598409678,1968571251
1598409679,1968571251
1598409680,1968571251
1598409681,1968571251
1598409682,1968571251
1598409683,1968571251
1598409684,1968571251
1598409685,1968571251
1598409686,1968524043
1598409687,1968524043
1598409688,1968524043
1598409689,1968524043
1598409690,1968524043
1598409691,1968524043
1598409692,1968524043
1598409693,1968524043
1598409694,1968524043
1598409695,1968524043
1598409696,1969090558
1598409697,1969090558
1598409698,1969090558
1598409699,1969090558
1598409700,1969090558
1598409701,1969090558
1598409702,1969090558
1598409703,1969090558
1598409704,1969090558
1598409705,1969090558
1598409706,1968948935
1598409707,1968948935
1598409708,1968948935
1598409709,1968948935
1598409710,1968948935
1598409711,1968948935
1598409712,1968948935
1598409713,1968948935
1598409714,1968948935
1598409715,1968948935
1598409716,1968854525
1598409717,1968854525
1598409718,1968854525
1598409719,1968854525
1598409720,1968854525
1598409721,1968854525
1598409722,1968854525
1598409723,1968854525
1598409724,1968854525
1598409725,1968854525
1598409726,888645615
1598409727,888645615
