t,value
1598409607,43090440
1598409608,45256232
1598409609,50134944
1598409610,59546512
1598409611,68526216
1598409612,68789248
1598409613,68815760
1598409614,68895192
1598409615,74262480
1598409616,84149632
1598409617,86033328
1598409618,89621440
1598409619,90363672
1598409620,90174784
1598409621,90912184
1598409622,91570056
1598409623,92181024
1598409625,92202776
1598409625,92733200
1598409626,93007256
1598409627,93205000
1598409628,93340016
1598409629,93397592
1598409630,94119072
1598409632,94739152
1598409632,94860216
1598409633,95346792
1598409634,95785216
1598409635,97366064
1598409636,101821960
1598409637,101545992
1598409638,103613528
1598409639,104277496
1598409640,105087280
1598409641,105506456
1598409642,105735904
1598409643,106001928
1598409644,106579712
1598409645,107264000
1598409646,107148856
1598409647,107401192
1598409648,107654344
1598409649,107777768
1598409650,107951264
1598409651,108256240
1598409652,108340968
1598409653,109053984
1598409654,109215056
1598409655,109439488
1598409656,109649480
1598409657,109870104
1598409658,110101240
1598409659,110324016
1598409660,110634576
1598409661,110844400
1598409662,110960856
1598409663,111137064
1598409664,111352904
1598409665,111421184
1598409666,111565664
1598409667,111748968
1598409668,111851680
1598409669,111906976
1598409670,112066976
1598409671,112199784
1598409672,112324056
1598409673,112281736
1598409674,112297344
1598409675,112533408
1598409676,112680792
1598409677,113010384
1598409678,113117200
1598409679,113219536
1598409680,113227816
1598409681,113103704
1598409682,113122024
1598409683,113249000
1598409684,113293088
1598409685,113342680
1598409686,114047480
1598409687,114108120
1598409688,114400096
1598409689,114482640
1598409690,114701744
1598409691,114721648
1598409692,114794704
1598409693,114925752
1598409694,114994680
1598409695,115078328
1598409696,115229224
1598409697,115162168
1598409698,115165720
1598409699,115174032
1598409700,115210144
1598409701,115364768
1598409702,115405952
1598409703,115450440
1598409704,115500768
1598409705,115616624
1598409706,115757400
1598409707,115819568
1598409708,115877888
1598409709,116116880
1598409710,116175032
1598409711,116185456
1598409712,116228080
1598409713,116231496
1598409714,116212776
1598409715,116214632
1598409716,116256456
1598409717,116312072
1598409718,116328456
1598409719,116335176
1598409720,116344968
1598409721,116439152
1598409722,116544968
1598409723,116540560
1598409724,116566392
1598409725,118955480
1598409726,134269232
1598409727,134312440
