t,value
1598409607,132120576
1598409608,132120576
1598409609,200278016
1598409610,200278016
1598409611,200278016
1598409612,200278016
1598409613,200278016
1598409614,200278016
1598409615,292028416
1598409616,292028416
1598409617,292028416
1598409618,398458880
1598409619,580386816
1598409620,836763648
1598409621,877658112
1598409622,877658112
1598409623,857735168
1598409625,857735168
1598409625,821035008
1598409626,821035008
1598409627,817889280
1598409628,817889280
1598409629,833093632
1598409630,833093632
1598409632,871890944
1598409632,871890944
1598409633,871890944
1598409634,875560960
1598409635,875560960
1598409636,875560960
1598409637,875560960
1598409638,875560960
1598409639,875560960
1598409640,896008192
1598409641,896008192
1598409642,896008192
1598409643,896008192
1598409644,910163968
1598409645,910163968
1598409646,910163968
1598409647,910163968
1598409648,910163968
1598409649,936902656
1598409650,936902656
1598409651,936902656
1598409652,936902656
1598409653,953679872
1598409654,953679872
1598409655,953679872
1598409656,953679872
1598409657,953679872
1598409658,966787072
1598409659,966787072
1598409660,966787072
1598409661,966787072
1598409662,966787072
1598409663,977797120
1598409664,977797120
1598409665,977797120
1598409666,977797120
1598409667,977797120
1598409668,987234304
1598409669,987234304
1598409670,987234304
1598409671,987234304
1598409672,995098624
1598409673,995098624
1598409674,995098624
1598409675,995098624
1598409676,995098624
1598409677,1001914368
1598409678,1001914368
1598409679,1001914368
1598409680,1001914368
1598409681,1001914368
1598409682,1007681536
1598409683,1007681536
1598409684,1007681536
1598409685,1007681536
1598409686,1007681536
1598409687,1012924416
1598409688,1012924416
1598409689,1012924416
1598409690,1012924416
1598409691,1012924416
1598409692,1018167296
1598409693,1018167296
1598409694,1018167296
1598409695,1018167296
1598409696,1023410176
1598409697,1023410176
1598409698,1023410176
1598409699,1023410176
1598409700,1023410176
1598409701,1028653056
1598409702,1028653056
1598409703,1028653056
1598409704,1028653056
1598409705,1028653056
1598409706,1033895936
1598409707,1033895936
1598409708,1033895936
1598409709,1033895936
1598409710,1033895936
1598409711,1039138816
1598409712,1039138816
1598409713,1039138816
1598409714,1039138816
1598409715,1039138816
1598409716,1044381696
1598409717,1044381696
1598409718,1044381696
1598409719,1044381696
1598409720,1044381696
1598409721,1049624576
1598409722,1049624576
1598409723,1049624576
1598409724,1049624576
1598409725,1049624576
1598409726,1049624576
1598409727,1049624576
