t,value
1598409607,351272960
1598409608,351272960
1598409609,351272960
1598409610,351272960
1598409611,351272960
1598409612,351272960
1598409613,351272960
1598409614,351272960
1598409615,351272960
1598409616,351272960
1598409617,351272960
1598409618,351272960
1598409619,351272960
1598409620,351272960
1598409621,351272960
1598409622,351272960
1598409623,351272960
1598409625,351272960
1598409625,351272960
1598409626,351272960
1598409627,351272960
1598409628,351272960
1598409629,351272960
1598409630,351272960
1598409632,351272960
1598409632,351272960
1598409633,351272960
1598409634,351272960
1598409635,351272960
1598409636,351272960
1598409637,351272960
1598409638,351272960
1598409639,351272960
1598409640,351272960
1598409641,351272960
1598409642,351272960
1598409643,351272960
1598409644,351272960
1598409645,351272960
1598409646,351272960
1598409647,351272960
1598409648,351272960
1598409649,351272960
1598409650,351272960
1598409651,351272960
1598409652,351272960
1598409653,351272960
1598409654,351272960
1598409655,351272960
1598409656,351272960
1598409657,351272960
1598409658,351272960
1598409659,351272960
1598409660,351272960
1598409661,351272960
1598409662,351272960
1598409663,351272960
1598409664,351272960
1598409665,351272960
1598409666,351272960
1598409667,351272960
1598409668,351272960
1598409669,351272960
1598409670,351272960
1598409671,351272960
1598409672,351272960
1598409673,351272960
1598409674,351272960
1598409675,351272960
1598409676,351272960
1598409677,351272960
1598409678,351272960
1598409679,351272960
1598409680,351272960
1598409681,351272960
1598409682,351272960
1598409683,351272960
1598409684,351272960
1598409685,351272960
1598409686,351272960
1598409687,351272960
1598409688,351272960
1598409689,351272960
1598409690,351272960
1598409691,351272960
1598409692,351272960
1598409693,351272960
1598409694,351272960
1598409695,351272960
1598409696,351272960
1598409697,351272960
1598409698,351272960
1598409699,351272960
1598409700,351272960
1598409701,351272960
1598409702,351272960
1598409703,351272960
1598409704,351272960
1598409705,351272960
1598409706,351272960
1598409707,351272960
1598409708,351272960
1598409709,351272960
1598409710,351272960
1598409711,351272960
1598409712,351272960
1598409713,351272960
1598409714,351272960
1598409715,351272960
1598409716,351272960
1598409717,351272960
1598409718,351272960
1598409719,351272960
1598409720,351272960
1598409721,351272960
1598409722,351272960
1598409723,351272960
1598409724,351272960
1598409725,351272960
1598409726,351272960
1598409727,351272960
