t,value
1598409605,0
1598409606,0
1598409607,0
1598409608,0
1598409609,0
1598409610,0
1598409611,0
1598409612,0
1598409613,0
1598409614,0
1598409615,0
1598409616,0
1598409617,0
1598409618,0
1598409619,0
1598409620,183264776
1598409621,183264776
1598409622,183264776
1598409623,183264776
1598409624,183264776
1598409625,183264776
1598409626,183264776
1598409627,183264776
1598409628,183264776
1598409629,183264776
1598409630,218561264
1598409631,218561264
1598409632,218561264
1598409633,218561264
1598409634,218561264
1598409635,218561264
1598409636,218561264
1598409637,218561264
1598409638,218561264
1598409639,218561264
1598409640,206346888
1598409641,206346888
1598409642,206346888
1598409643,206346888
1598409644,206346888
1598409645,206346888
1598409646,206346888
1598409647,206346888
1598409648,206346888
1598409649,206346888
1598409650,289033872
1598409651,289033872
1598409652,289033872
1598409653,289033872
1598409654,289033872
1598409655,289033872
1598409656,289033872
1598409657,289033872
1598409658,289033872
1598409659,289033872
1598409660,322775504
1598409661,322775504
1598409662,322775504
1598409663,322775504
1598409664,322775504
1598409665,322775504
1598409666,322775504
1598409667,322775504
1598409668,322775504
1598409669,322775504
1598409670,333635888
1598409671,333635888
1598409672,333635888
1598409673,333635888
1598409674,333635888
1598409675,333635888
1598409676,333635888
1598409677,333635888
1598409678,333635888
1598409679,333635888
1598409680,298965152
1598409681,298965152
1598409682,298965152
1598409683,298965152
1598409684,298965152
1598409685,298965152
1598409686,298965152
1598409687,298965152
1598409688,298965152
1598409689,298965152
1598409690,260192704
1598409691,260192704
1598409692,260192704
1598409693,260192704
1598409694,260192704
1598409695,260192704
1598409696,260192704
1598409697,260192704
1598409698,260192704
1598409699,260192704
1598409700,172892088
1598409701,172892088
1598409702,172892088
1598409703,172892088
1598409704,172892088
1598409705,172892088
1598409706,172892088
1598409707,172892088
1598409708,172892088
1598409709,172892088
1598409710,86141520
1598409711,86141520
1598409712,86141520
1598409713,86141520
1598409714,86141520
1598409715,86141520
1598409716,86141520
1598409717,86141520
1598409718,86141520
1598409719,86141520
1598409720,529824960
1598409721,529824960
1598409722,529824960
1598409723,529824960
1598409724,529824960
1598409725,529824960
1598409726,529824960
1598409727,529824960
