t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1598409607,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409608,4,0.010483,0.007950,0.005341,0.002140,0.009583,0.010483,0.010483,0.010483,0.010483,0.010483,2.376757,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409609,5,0.010483,0.007940,0.005341,0.001911,0.007900,0.009583,0.010483,0.010483,0.010483,0.010483,1.865505,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409610,5,0.010483,0.007940,0.005341,0.001911,0.007900,0.009583,0.010483,0.010483,0.010483,0.010483,1.359865,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409611,8,0.010483,0.007520,0.005341,0.001600,0.006912,0.007900,0.010483,0.010483,0.010483,0.010483,1.711998,0.000000,0.000000,0.000000,calls/second,milliseconds
1598409612,10,0.010483,0.007451,0.005341,0.001443,0.006912,0.007900,0.010483,0.010483,0.010483,0.010483,1.762886,1.600000,1.600000,1.600000,calls/second,milliseconds
1598409613,10,0.010483,0.007451,0.005341,0.001443,0.006912,0.007900,0.010483,0.010483,0.010483,0.010483,1.498790,1.600000,1.600000,1.600000,calls/second,milliseconds
1598409614,12,0.015805,0.008114,0.005341,0.002731,0.006912,0.007900,0.015805,0.015805,0.015805,0.015805,1.563207,1.600000,1.600000,1.600000,calls/second,milliseconds
1598409615,25,0.015805,0.006462,0.004086,0.002488,0.006207,0.007160,0.010483,0.015805,0.015805,0.015805,2.869747,1.600000,1.600000,1.600000,calls/second,milliseconds
1598409616,27,0.015805,0.006741,0.004086,0.002688,0.006392,0.007292,0.012831,0.015805,0.015805,0.015805,2.790534,1.600000,1.600000,1.600000,calls/second,milliseconds
1598409617,27,0.015805,0.006741,0.004086,0.002688,0.006392,0.007292,0.012831,0.015805,0.015805,0.015805,2.529735,1.775902,1.636363,1.612188,calls/second,milliseconds
1598409618,32,0.015805,0.006790,0.004086,0.002485,0.006475,0.007274,0.012831,0.015805,0.015805,0.015805,2.741346,1.775902,1.636363,1.612188,calls/second,milliseconds
1598409619,34,0.019464,0.007186,0.004086,0.003272,0.006500,0.007292,0.015805,0.019464,0.019464,0.019464,2.682766,1.775902,1.636363,1.612188,calls/second,milliseconds
1598409620,39,0.019464,0.006704,0.002523,0.003282,0.006392,0.007274,0.015805,0.019464,0.019464,0.019464,2.851880,1.775902,1.636363,1.612188,calls/second,milliseconds
1598409621,46,0.019464,0.006008,0.001440,0.003399,0.005341,0.007000,0.012831,0.019464,0.019464,0.019464,3.135215,1.775902,1.636363,1.612188,calls/second,milliseconds
1598409622,46,0.019464,0.006008,0.001440,0.003399,0.005341,0.007000,0.012831,0.019464,0.019464,0.019464,2.935193,1.937740,1.672125,1.624309,calls/second,milliseconds
1598409623,51,0.019464,0.005751,0.001440,0.003307,0.005173,0.006787,0.012831,0.019464,0.019464,0.019464,3.058772,1.937740,1.672125,1.624309,calls/second,milliseconds
1598409624,55,0.019464,0.005510,0.001440,0.003299,0.004830,0.006650,0.012831,0.015805,0.019464,0.019464,3.112249,1.937740,1.672125,1.624309,calls/second,milliseconds
1598409625,79,0.030141,0.005600,0.001440,0.005436,0.004090,0.006510,0.019190,0.026647,0.030141,0.030141,4.230265,1.937740,1.672125,1.624309,calls/second,milliseconds
1598409626,86,0.030141,0.005324,0.001440,0.005268,0.003387,0.006475,0.018223,0.026647,0.030141,0.030141,4.371037,1.937740,1.672125,1.624309,calls/second,milliseconds
1598409627,87,0.030141,0.005280,0.001440,0.005249,0.003387,0.006392,0.018223,0.026647,0.030141,0.030141,4.208290,2.438443,1.780021,1.660739,calls/second,milliseconds
1598409628,96,0.030141,0.004927,0.000717,0.005083,0.003080,0.006207,0.018223,0.026647,0.030141,0.030141,4.429390,2.438443,1.780021,1.660739,calls/second,milliseconds
1598409629,108,0.030141,0.004554,0.000717,0.004865,0.002953,0.005265,0.015805,0.019464,0.026647,0.030141,4.763200,2.438443,1.780021,1.660739,calls/second,milliseconds
1598409630,190,0.030141,0.003364,0.000583,0.004457,0.001823,0.003360,0.012831,0.019464,0.026647,0.030141,8.025173,2.438443,1.780021,1.660739,calls/second,milliseconds
1598409631,294,0.030141,0.002741,0.000442,0.003875,0.001514,0.002529,0.008051,0.018223,0.023903,0.030141,11.916150,2.438443,1.780021,1.660739,calls/second,milliseconds
1598409632,317,0.030141,0.002608,0.000442,0.003752,0.001440,0.002306,0.007590,0.018223,0.019464,0.030141,12.345385,5.553637,2.434882,1.880901,calls/second,milliseconds
1598409633,368,0.030141,0.002477,0.000442,0.003544,0.001393,0.002180,0.007292,0.016697,0.019464,0.030141,13.794586,5.553637,2.434882,1.880901,calls/second,milliseconds
1598409634,446,0.030141,0.002224,0.000398,0.003253,0.001285,0.002066,0.006998,0.014563,0.019190,0.030141,16.116876,5.553637,2.434882,1.880901,calls/second,milliseconds
1598409635,458,0.030141,0.002203,0.000398,0.003207,0.001287,0.002036,0.006912,0.014563,0.019190,0.030141,15.970176,5.553637,2.434882,1.880901,calls/second,milliseconds
1598409636,513,0.030141,0.002089,0.000297,0.003033,0.001285,0.001943,0.006510,0.014402,0.018447,0.030141,17.288767,5.553637,2.434882,1.880901,calls/second,milliseconds
1598409637,523,0.030141,0.002066,0.000265,0.003006,0.001280,0.001933,0.006500,0.012831,0.018447,0.030141,17.050568,8.691603,3.135115,2.118679,calls/second,milliseconds
1598409638,618,0.030141,0.001889,0.000179,0.002777,0.001226,0.001813,0.005342,0.010483,0.018223,0.030141,19.511402,8.691603,3.135115,2.118679,calls/second,milliseconds
1598409639,732,0.030141,0.001715,0.000177,0.002564,0.001119,0.001675,0.004678,0.008051,0.015805,0.030141,22.404898,8.691603,3.135115,2.118679,calls/second,milliseconds
1598409640,846,0.030141,0.001591,0.000177,0.002404,0.001037,0.001571,0.004090,0.007590,0.014563,0.030141,25.123758,8.691603,3.135115,2.118679,calls/second,milliseconds
