t,value
1598409602,43873016
1598409603,47908232
1598409604,53644248
1598409605,58811560
1598409606,62857312
1598409607,70362376
1598409608,73279456
1598409609,73535608
1598409610,73565488
1598409611,75012576
1598409612,85180328
1598409613,92481176
1598409614,99460040
1598409615,100471368
1598409616,100482840
1598409617,100486576
1598409618,100665336
1598409619,100701776
1598409620,101073408
1598409621,101116240
1598409622,101125656
1598409623,101147672
1598409624,101180080
1598409625,101266664
1598409626,101308176
1598409627,101321512
1598409628,101362056
1598409629,101416064
1598409630,101908992
1598409631,102204256
1598409632,102259168
1598409633,102386848
1598409634,105806832
1598409635,105859904
1598409636,105907720
1598409637,105923584
1598409638,106621152
1598409639,106783488
1598409640,106929816
1598409641,107013536
1598409642,107070256
1598409643,107200440
1598409644,107271312
1598409645,107402280
1598409646,107572736
1598409647,107595600
1598409648,107625648
1598409649,107656336
1598409650,107692536
1598409651,107699848
1598409652,107744384
1598409653,107753208
1598409654,107805768
1598409655,107844416
1598409656,107866120
1598409657,107906088
1598409658,107928048
1598409659,107964536
1598409660,108000784
1598409661,108011864
1598409662,108016352
1598409663,108024928
1598409664,108040768
1598409665,108049280
1598409666,108069680
1598409667,108118216
1598409668,108141864
1598409669,108156016
1598409670,108179584
1598409671,108188136
1598409672,108204352
1598409673,108210464
1598409674,108218792
1598409675,108229064
1598409676,108233552
1598409677,108241704
1598409678,108249176
1598409679,108251688
1598409680,108256704
1598409681,108264472
1598409682,108272088
1598409683,108291800
1598409684,108318848
1598409685,108321632
1598409686,108336040
1598409687,108354456
1598409688,108380792
1598409689,108395064
1598409690,108405240
1598409691,108418888
1598409692,108419896
1598409693,108421624
1598409694,108421624
1598409695,108421624
1598409696,108421624
1598409697,108421624
1598409698,108441160
1598409699,108446264
1598409700,108448032
1598409701,108456288
1598409702,108457888
1598409703,108460656
1598409704,108503208
1598409705,108510256
1598409706,108523984
1598409707,108531888
1598409708,108571792
1598409709,108608008
1598409710,108610496
1598409711,108637896
1598409712,108639048
1598409713,108639768
1598409714,108642416
1598409715,108644080
1598409716,108668520
1598409717,108669752
1598409718,108672792
1598409719,108675552
1598409720,108675928
1598409721,108695600
1598409722,108697056
1598409723,108697056
1598409724,109070816
1598409725,112080744
1598409726,112334616
1598409727,112650288
