t,value
1598409602,11131224
1598409603,11131224
1598409604,11131224
1598409605,20843000
1598409606,20843000
1598409607,20843000
1598409608,20843000
1598409609,20843000
1598409610,20843000
1598409611,20843000
1598409612,20843000
1598409613,20843000
1598409614,37131560
1598409615,37131560
1598409616,37131560
1598409617,37131560
1598409618,37131560
1598409619,37131560
1598409620,37131560
1598409621,37131560
1598409622,37131560
1598409623,37131560
1598409624,37131560
1598409625,37131560
1598409626,37131560
1598409627,37131560
1598409628,37131560
1598409629,37131560
1598409630,37131560
1598409631,37131560
1598409632,37131560
1598409633,37131560
1598409634,37131560
1598409635,37131560
1598409636,37131560
1598409637,37131560
1598409638,37131560
1598409639,37131560
1598409640,37131560
1598409641,37131560
1598409642,37131560
1598409643,37131560
1598409644,37131560
1598409645,37131560
1598409646,37131560
1598409647,37131560
1598409648,37131560
1598409649,37131560
1598409650,37131560
1598409651,37131560
1598409652,37131560
1598409653,37131560
1598409654,37131560
1598409655,37131560
1598409656,37131560
1598409657,37131560
1598409658,37131560
1598409659,37131560
1598409660,37131560
1598409661,37131560
1598409662,37131560
1598409663,37131560
1598409664,37131560
1598409665,37131560
1598409666,37131560
1598409667,37131560
1598409668,37131560
1598409669,37131560
1598409670,37131560
1598409671,37131560
1598409672,37131560
1598409673,37131560
1598409674,37131560
1598409675,37131560
1598409676,37131560
1598409677,37131560
1598409678,37131560
1598409679,37131560
1598409680,37131560
1598409681,37131560
1598409682,37131560
1598409683,37131560
1598409684,37131560
1598409685,37131560
1598409686,37131560
1598409687,37131560
1598409688,37131560
1598409689,37131560
1598409690,37131560
1598409691,37131560
1598409692,37131560
1598409693,37131560
1598409694,37131560
1598409695,37131560
1598409696,37131560
1598409697,37131560
1598409698,37131560
1598409699,37131560
1598409700,37131560
1598409701,37131560
1598409702,37131560
1598409703,37131560
1598409704,37131560
1598409705,37131560
1598409706,37131560
1598409707,37131560
1598409708,37131560
1598409709,37131560
1598409710,37131560
1598409711,37131560
1598409712,37131560
1598409713,37131560
1598409714,37131560
1598409715,37131560
1598409716,37131560
1598409717,37131560
1598409718,37131560
1598409719,37131560
1598409720,37131560
1598409721,37131560
1598409722,37131560
1598409723,37131560
1598409724,37131560
1598409725,37131560
1598409726,37131560
1598409727,37131560
