t,value
1598409799,45809664
1598409800,46071808
1598409801,46071808
1598409802,46071808
1598409803,46071808
1598409804,46399488
1598409805,46399488
1598409806,47841280
1598409807,48168960
1598409808,48431104
1598409809,55574528
1598409810,73269248
1598409811,84500480
1598409812,95444992
1598409813,101146624
1598409814,102129664
1598409815,102850560
1598409816,103374848
1598409817,103768064
1598409818,104423424
1598409820,105013248
1598409820,105406464
1598409821,105603072
1598409822,106127360
1598409823,106323968
1598409825,106586112
1598409825,106717184
1598409826,107241472
1598409827,107241472
1598409828,107241472
1598409829,108486656
1598409830,113008640
1598409831,113008640
1598409832,113795072
1598409833,114712576
1598409834,115367936
1598409835,116219904
1598409836,116744192
1598409837,117071872
1598409838,117268480
1598409839,118120448
1598409840,118644736
1598409841,118841344
1598409842,119103488
1598409843,119103488
1598409844,119103488
1598409845,119103488
1598409846,119234560
1598409847,119431168
1598409848,120086528
1598409849,120348672
1598409850,120545280
1598409851,120610816
1598409852,120741888
1598409853,120938496
1598409854,121004032
1598409855,121069568
1598409856,121331712
1598409857,121790464
1598409858,121921536
1598409859,122052608
1598409860,122118144
1598409861,122183680
1598409862,122249216
1598409863,122380288
1598409864,122511360
1598409865,122576896
1598409866,122642432
1598409867,122642432
1598409868,122642432
1598409869,122839040
1598409870,122904576
1598409871,123297792
1598409872,123363328
1598409873,123494400
1598409874,123494400
1598409875,123494400
1598409876,123494400
1598409877,123494400
1598409878,123494400
1598409879,123625472
1598409880,123822080
1598409881,123887616
1598409882,123887616
1598409883,124542976
1598409884,125132800
1598409885,125198336
1598409886,125263872
1598409887,125329408
1598409888,125394944
1598409889,125394944
1598409890,125460480
1598409891,125526016
1598409892,125526016
1598409893,125591552
1598409894,125657088
1598409895,125722624
1598409896,125919232
1598409897,125919232
1598409898,126050304
1598409899,126115840
1598409900,126181376
1598409901,126246912
1598409902,126312448
1598409903,126312448
1598409904,126312448
1598409905,126443520
1598409906,126443520
1598409907,126509056
1598409908,126574592
1598409909,126705664
1598409910,126705664
1598409911,126771200
1598409912,126771200
1598409913,127164416
1598409914,127229952
1598409915,127361024
1598409916,127623168
1598409917,127754240
1598409918,127819776
1598409919,127819776
1598409920,127819776
1598409921,127819776
