t,value
1598409799,4718592
1598409800,4718592
1598409801,4718592
1598409802,4718592
1598409803,4718592
1598409804,4718592
1598409805,4718592
1598409806,4718592
1598409807,4718592
1598409808,4849664
1598409809,5505024
1598409810,7733248
1598409811,8650752
1598409812,9699328
1598409813,9961472
1598409814,9961472
1598409815,9961472
1598409816,9961472
1598409817,9961472
1598409818,9961472
1598409820,9961472
1598409820,9961472
1598409821,9961472
1598409822,9961472
1598409823,9961472
1598409825,9961472
1598409825,9961472
1598409826,9961472
1598409827,9961472
1598409828,9961472
1598409829,10092544
1598409830,10616832
1598409831,10616832
1598409832,10616832
1598409833,10747904
1598409834,10747904
1598409835,10747904
1598409836,10747904
1598409837,10747904
1598409838,10747904
1598409839,10747904
1598409840,10747904
1598409841,10747904
1598409842,10747904
1598409843,10747904
1598409844,10747904
1598409845,10747904
1598409846,10747904
1598409847,10747904
1598409848,10747904
1598409849,10747904
1598409850,10747904
1598409851,10747904
1598409852,10747904
1598409853,10747904
1598409854,10747904
1598409855,10747904
1598409856,10747904
1598409857,10747904
1598409858,10747904
1598409859,10747904
1598409860,10747904
1598409861,10747904
1598409862,10747904
1598409863,10747904
1598409864,10747904
1598409865,10747904
1598409866,10747904
1598409867,10747904
1598409868,10747904
1598409869,10747904
1598409870,10747904
1598409871,10747904
1598409872,10747904
1598409873,10747904
1598409874,10747904
1598409875,10747904
1598409876,10747904
1598409877,10747904
1598409878,10747904
1598409879,10747904
1598409880,10747904
1598409881,10747904
1598409882,10747904
1598409883,10747904
1598409884,10747904
1598409885,10747904
1598409886,10747904
1598409887,10747904
1598409888,10747904
1598409889,10747904
1598409890,10747904
1598409891,10747904
1598409892,10747904
1598409893,10747904
1598409894,10747904
1598409895,10747904
1598409896,10747904
1598409897,10747904
1598409898,10747904
1598409899,10747904
1598409900,10747904
1598409901,10747904
1598409902,10747904
1598409903,10747904
1598409904,10747904
1598409905,10747904
1598409906,10747904
1598409907,10747904
1598409908,10747904
1598409909,10747904
1598409910,10747904
1598409911,10747904
1598409912,10747904
1598409913,10747904
1598409914,10747904
1598409915,10747904
1598409916,10747904
1598409917,10747904
1598409918,10747904
1598409919,10747904
1598409920,10747904
1598409921,10747904
