t,value
1598409799,387121152
1598409800,387383296
1598409801,387383296
1598409802,387383296
1598409803,387383296
1598409804,387710976
1598409805,387710976
1598409806,389152768
1598409807,389480448
1598409808,389742592
1598409809,531628032
1598409810,558235648
1598409811,803299328
1598409812,814243840
1598409813,820535296
1598409814,1199464448
1598409815,1845059584
1598409816,2032230400
1598409817,2018467840
1598409818,1940480000
1598409820,2303352832
1598409820,2259181568
1598409821,2286641152
1598409822,2306039808
1598409823,2301517824
1598409825,2690277376
1598409825,2704564224
1598409826,2705088512
1598409827,2726060032
1598409828,2509004800
1598409829,2716295168
1598409830,2720817152
1598409831,2720817152
1598409832,2721603584
1598409833,2721996800
1598409834,2722652160
1598409835,2723504128
1598409836,2740281344
1598409837,2740609024
1598409838,2740805632
1598409839,2742181888
1598409840,2742706176
1598409841,2742902784
1598409842,2746834944
1598409843,2746834944
1598409844,2746834944
1598409845,2748407808
1598409846,2748538880
1598409847,2748735488
1598409848,2761449472
1598409849,2761711616
1598409850,2761908224
1598409851,2763546624
1598409852,2763677696
1598409853,2763874304
1598409854,2761318400
1598409855,2761383936
1598409856,2761646080
1598409857,2773114880
1598409858,2773245952
1598409859,2773377024
1598409860,2768723968
1598409861,2768789504
1598409862,2768855040
1598409863,2779996160
1598409864,2780127232
1598409865,2780192768
1598409866,2780258304
1598409867,2771345408
1598409868,2771345408
1598409869,2771542016
1598409870,2783666176
1598409871,2784059392
1598409872,2784124928
1598409873,2785304576
1598409874,2785304576
1598409875,2785304576
1598409876,2785304576
1598409877,2793168896
1598409878,2793168896
1598409879,2793299968
1598409880,2786680832
1598409881,2786746368
1598409882,2786746368
1598409883,2795266048
1598409884,2795855872
1598409885,2795921408
1598409886,2795986944
1598409887,2783469568
1598409888,2783535104
1598409889,2783535104
1598409890,2791464960
1598409891,2791530496
1598409892,2791530496
1598409893,2791596032
1598409894,2775408640
1598409895,2775474176
1598409896,2775670784
1598409897,2638897152
1598409898,2638962688
1598409899,2639028224
1598409900,2639093760
1598409901,2767085568
1598409902,2767151104
1598409903,2767151104
1598409904,2643943424
1598409905,2644074496
1598409906,2644074496
1598409907,2644140032
1598409908,2757976064
1598409909,2758107136
1598409910,2758107136
1598409911,2649120768
1598409912,2649120768
1598409913,2738118656
1598409914,2763874304
1598409915,2793889792
1598409916,2808832000
1598409917,2848284672
1598409918,2839437312
1598409919,2839437312
1598409920,2839437312
1598409921,2839437312
