t,count
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,0
1598409813,0
1598409814,0
1598409815,0
1598409816,0
1598409817,0
1598409819,0
1598409819,0
1598409820,0
1598409821,0
1598409822,0
1598409823,0
1598409824,0
1598409825,0
1598409826,0
1598409827,0
1598409828,0
1598409829,0
1598409830,0
1598409831,0
1598409832,0
1598409833,20621
1598409834,29023
1598409835,37423
1598409836,45824
1598409837,62625
1598409838,71025
1598409839,96225
1598409840,104625
1598409841,113026
1598409842,121426
1598409843,129828
1598409844,155030
1598409845,163431
1598409846,171831
1598409847,180231
1598409848,197032
1598409849,205433
1598409850,213834
1598409851,222234
1598409852,230634
1598409853,255835
1598409854,264235
1598409855,272635
1598409856,281035
1598409857,297837
1598409858,314638
1598409859,323039
1598409860,331440
1598409861,356641
1598409862,365041
1598409863,373441
1598409864,381842
1598409865,398644
1598409866,415445
1598409867,423846
1598409868,440646
1598409869,449048
1598409870,465848
1598409871,474248
1598409872,482648
1598409873,491048
1598409874,507848
1598409875,516248
1598409876,524648
1598409877,549848
1598409878,558248
1598409879,566648
1598409880,575050
1598409881,600252
1598409882,608653
1598409883,617053
1598409884,625454
1598409885,650655
1598409886,659055
1598409887,667455
1598409888,675855
1598409889,701058
1598409890,717858
1598409891,734660
1598409892,743061
1598409893,768264
1598409894,776665
1598409895,793465
1598409896,818665
1598409897,827065
1598409898,835465
1598409899,843865
1598409900,869069
1598409901,877469
1598409902,885869
1598409903,894269
1598409904,927871
1598409905,936271
1598409906,953072
1598409907,969872
1598409908,978272
1598409909,986673
1598409910,995073
1598409911,1011873
1598409912,1020275
1598409913,1037076
1598409914,1037076
1598409915,1037076
1598409916,1037076
1598409917,1037076
1598409918,1037076
1598409919,1037076
1598409920,1037076
1598409921,1037076
