t,value
1598409799,32300872
1598409800,32385472
1598409801,32410528
1598409802,32420768
1598409803,32432288
1598409804,32571848
1598409805,32573640
1598409806,33406280
1598409807,33417192
1598409808,33498096
1598409809,37812920
1598409810,46010000
1598409811,51807456
1598409812,61633960
1598409813,65657568
1598409814,65795712
1598409815,65802984
1598409816,65930096
1598409817,65993152
1598409819,66361200
1598409819,66408208
1598409820,66432136
1598409821,66478224
1598409822,66507792
1598409823,66530872
1598409824,66627288
1598409825,66639096
1598409826,67235200
1598409827,67544128
1598409828,67597680
1598409829,68908280
1598409830,73036376
1598409831,73054024
1598409832,74105888
1598409833,74449552
1598409834,74539640
1598409835,74621272
1598409836,74698224
1598409837,74778368
1598409838,74817888
1598409839,74940976
1598409840,75000568
1598409841,75032064
1598409842,75088816
1598409843,75121920
1598409844,75224576
1598409845,75262792
1598409846,75287064
1598409847,75318088
1598409848,75366624
1598409849,75416832
1598409850,75446464
1598409851,75505904
1598409852,75521496
1598409853,75596496
1598409854,75627984
1598409855,75638360
1598409856,75653600
1598409857,75713688
1598409858,75738768
1598409859,75756408
1598409860,75768304
1598409861,75787088
1598409862,75805512
1598409863,75814040
1598409864,75830608
1598409865,75834048
1598409866,75836640
1598409867,75838544
1598409868,75843808
1598409869,75873552
1598409870,75898808
1598409871,75944272
1598409872,75968824
1598409873,75976672
1598409874,75990232
1598409875,75998872
1598409876,76002608
1598409877,76009960
1598409878,76010576
1598409879,76023168
1598409880,76024840
1598409881,76043520
1598409882,76049512
1598409883,76077584
1598409884,76118080
1598409885,76248344
1598409886,76249848
1598409887,76254016
1598409888,76258544
1598409889,76264976
1598409890,76274856
1598409891,76290264
1598409892,76292384
1598409893,76295568
1598409894,76299952
1598409895,76318704
1598409896,76327016
1598409897,76327600
1598409898,76361528
1598409899,76366832
1598409900,76376168
1598409901,76384784
1598409902,76385920
1598409903,76388784
1598409904,76401304
1598409905,76404664
1598409906,76404664
1598409907,76414368
1598409908,76428696
1598409909,76436688
1598409910,76441544
1598409911,76446504
1598409912,76446504
1598409913,76518296
1598409914,76533488
1598409915,76585792
1598409916,76618088
1598409917,76618880
1598409918,76619168
1598409919,76629280
1598409920,76629280
1598409921,76659168
