t,value
1598409799,21495808
1598409800,21495808
1598409801,21495808
1598409802,21495808
1598409803,21495808
1598409804,21495808
1598409805,21495808
1598409806,21495808
1598409807,21495808
1598409808,21495808
1598409809,12582912
1598409810,21495808
1598409811,14155776
1598409812,14155776
1598409813,177733632
1598409814,177733632
1598409815,201850880
1598409816,233832448
1598409817,267911168
1598409818,279969792
1598409819,265289728
1598409821,271581184
1598409821,232259584
1598409822,295698432
1598409823,323485696
1598409825,76021760
1598409825,316145664
1598409826,332398592
1598409827,315097088
1598409828,319815680
1598409829,319815680
1598409830,319815680
1598409831,319815680
1598409832,319815680
1598409833,321912832
1598409834,321912832
1598409835,321912832
1598409836,310378496
1598409837,310378496
1598409838,310378496
1598409839,315621376
1598409840,315621376
1598409841,293601280
1598409842,293601280
1598409843,293601280
1598409844,300941312
1598409845,300941312
1598409846,300941312
1598409847,263716864
1598409848,263716864
1598409849,263716864
1598409850,279969792
1598409851,279969792
1598409852,241696768
1598409853,241696768
1598409854,241696768
1598409855,256901120
1598409856,256901120
1598409857,256901120
1598409858,218103808
1598409859,218103808
1598409860,218103808
1598409861,4194304
1598409862,4194304
1598409863,4194304
1598409864,193986560
1598409865,193986560
1598409866,193986560
1598409867,4718592
1598409868,4718592
1598409869,4718592
1598409870,172490752
1598409871,172490752
1598409872,172490752
1598409873,3145728
1598409874,3145728
1598409875,3145728
1598409876,152043520
1598409877,152043520
1598409878,152043520
1598409879,2097152
1598409880,2097152
1598409881,2097152
1598409882,133693440
1598409883,133693440
1598409884,133693440
1598409885,1572864
1598409886,1572864
1598409887,1572864
1598409888,115867648
1598409889,115867648
1598409890,115867648
1598409891,1572864
1598409892,1572864
1598409893,1572864
1598409894,101711872
1598409895,101711872
1598409896,101711872
1598409897,2097152
1598409898,2097152
1598409899,2097152
1598409900,88080384
1598409901,88080384
1598409902,88080384
1598409903,1572864
1598409904,1572864
1598409905,1572864
1598409906,75497472
1598409907,75497472
1598409908,75497472
1598409909,2097152
1598409910,2097152
1598409911,2097152
1598409912,65536000
1598409913,70778880
1598409914,73400320
1598409915,96993280
1598409916,96993280
1598409917,147324928
1598409918,179306496
1598409919,179306496
1598409920,179306496
1598409921,179306496
