t,value
1598409799,20832656
1598409800,24482360
1598409801,118254176
1598409802,31601104
1598409803,73700736
1598409804,77488680
1598409805,78508432
1598409806,120373464
1598409807,70930664
1598409808,159166256
1598409809,27694536
1598409810,257497168
1598409811,229289384
1598409812,537044560
1598409813,131695368
1598409814,602918344
1598409815,245596248
1598409817,18261336
1598409817,485319032
1598409818,661988968
1598409819,768950152
1598409820,18007528
1598409821,26015208
1598409822,751511008
1598409823,482853816
1598409825,15251664
1598409825,62087680
1598409826,341982624
1598409827,688082488
1598409828,862627080
1598409829,170908576
1598409830,439944768
1598409831,777670952
1598409832,56143104
1598409833,350814456
1598409834,711357168
1598409835,191448800
1598409836,561388512
1598409837,44502224
1598409838,371817736
1598409839,797508040
1598409840,285831120
1598409841,682314776
1598409842,160318168
1598409843,498115608
1598409844,837412560
1598409845,339602272
1598409846,732297088
1598409847,187708272
1598409848,496198328
1598409849,880125248
1598409850,339580584
1598409851,740673192
1598409852,148459328
1598409853,504501952
1598409854,868397696
1598409855,295868056
1598409856,661924344
1598409857,58082576
1598409858,483807920
1598409859,880521280
1598409860,285697448
1598409861,635791312
1598409862,56846888
1598409863,424075560
1598409864,791787104
1598409865,174920448
1598409866,553807944
1598409867,942851072
1598409868,332135992
1598409869,665888864
1598409870,76859632
1598409871,460657488
1598409872,826882328
1598409873,183483536
1598409874,577473656
1598409875,963009784
1598409876,345702768
1598409877,676915192
1598409878,78633072
1598409879,473630392
1598409880,828879152
1598409881,179106560
1598409882,557583496
1598409883,957451504
1598409884,312965816
1598409885,677102136
1598409886,69948048
1598409887,465564288
1598409888,792765800
1598409889,177561888
1598409890,549966840
1598409891,925051104
1598409892,258822880
1598409893,628400376
1598409894,20865288
1598409895,400602960
1598409896,739771288
1598409897,140653048
1598409898,529670760
1598409899,869669472
1598409900,216002776
1598409901,605807672
1598409902,994059968
1598409903,319644688
1598409904,684184776
1598409905,81281072
1598409906,448300712
1598409907,782385696
1598409908,143791464
1598409909,540231048
1598409910,907289000
1598409911,246157672
1598409912,651844080
1598409913,263952432
1598409914,513836080
1598409915,208613952
1598409916,947331192
1598409917,333788568
1598409918,550818312
1598409919,671565696
1598409920,676034192
1598409921,702112672
