t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1598409799,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409800,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409801,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409802,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409803,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409804,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409805,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409806,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409807,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409808,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409809,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409810,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598409811,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409812,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409813,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409814,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409815,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409816,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409817,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409818,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409819,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409820,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409821,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409822,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
1598409823,14,1097,169.500000,1,284.591123,48.000000,292.000000,1097.000000,1097.000000,1097.000000,1097.000000
