t,count
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,0
1598409813,0
1598409814,0
1598409815,0
1598409816,0
1598409817,0
1598409818,3120308344
1598409819,3120308344
1598409820,3120308344
1598409821,7670981170
1598409822,7670981170
1598409823,10130547921
1598409824,10130547921
1598409825,10130547921
1598409826,10298624613
1598409827,11184759750
1598409828,12397950227
1598409829,12397950227
1598409830,14353612090
1598409831,15138568228
1598409832,15138568228
1598409833,15991904839
1598409834,16780088712
1598409835,18045012331
1598409836,18815362882
1598409837,19786845109
1598409838,20528910045
1598409839,21376752901
1598409840,22275112773
1598409841,23657696957
1598409842,24658507810
1598409843,25454415234
1598409844,26198517431
1598409845,26935469215
1598409846,28176707271
1598409847,29155995121
1598409848,29902075324
1598409849,30667827093
1598409850,31919317300
1598409851,32669202516
1598409852,33667418635
1598409853,34478020371
1598409854,35498655076
1598409855,36628897416
1598409856,37604237343
1598409857,38345739353
1598409858,39147358049
1598409859,40448341079
1598409860,41437844425
1598409861,42186062869
1598409862,43231911959
1598409863,44318931176
1598409864,45305990648
1598409865,46043146717
1598409866,46789943389
1598409867,48034912858
1598409868,49019896355
1598409869,49770264421
1598409870,50515986745
1598409871,51778408548
1598409872,52836088058
1598409873,53619634429
1598409874,54358819146
1598409875,55675513736
1598409876,56662508077
1598409877,57406268425
1598409878,58143487865
1598409879,59414695781
1598409880,60422481949
1598409881,61212876485
1598409882,61987251119
1598409883,63232495432
1598409884,64292725289
1598409885,65034057598
1598409886,66363031198
1598409887,67355264584
1598409888,68088617652
1598409889,68831013671
1598409890,70069426686
1598409891,71079860670
1598409892,71872346584
1598409893,72669446317
1598409894,73998812696
1598409895,74973799214
1598409896,75746590271
1598409897,76983841597
1598409898,77726291934
1598409899,78706499887
1598409900,79450995288
1598409901,80200699684
1598409902,81788154840
1598409903,82523009295
1598409904,83306642877
1598409905,84533416463
1598409906,85505083358
1598409907,86243166061
1598409908,86986732924
1598409909,88306476224
1598409910,89320155700
1598409911,90065969029
1598409912,91312666962
1598409913,91554263631
1598409914,91554263631
1598409915,92982515741
1598409916,94533041206
1598409917,96004071992
1598409918,97540042753
1598409919,97540042753
1598409920,97540042753
1598409921,98551222384
