t,value
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,12
1598409813,24
1598409814,36
1598409815,54
1598409816,66
1598409817,90
1598409818,120
1598409819,138
1598409820,142
1598409821,162
1598409822,174
1598409823,180
1598409824,180
1598409825,180
1598409826,180
1598409827,180
1598409828,180
1598409829,180
1598409830,180
1598409831,180
1598409832,180
1598409833,180
1598409834,180
1598409835,180
1598409836,180
1598409837,180
1598409838,180
1598409839,180
1598409840,180
1598409841,180
1598409842,180
1598409843,180
1598409844,180
1598409845,180
1598409846,180
1598409847,180
1598409848,180
1598409849,180
1598409850,180
1598409851,180
1598409852,180
1598409853,180
1598409854,180
1598409855,180
1598409856,180
1598409857,180
1598409858,180
1598409859,180
1598409860,180
1598409861,180
1598409862,180
1598409863,180
1598409864,180
1598409865,180
1598409866,180
1598409867,180
1598409868,180
1598409869,180
1598409870,180
1598409871,180
1598409872,180
1598409873,180
1598409874,180
1598409875,180
1598409876,180
1598409877,180
1598409878,180
1598409879,180
1598409880,180
1598409881,180
1598409882,180
1598409883,180
1598409884,180
1598409885,180
1598409886,180
1598409887,180
1598409888,180
1598409889,180
1598409890,180
1598409891,180
1598409892,180
1598409893,180
1598409894,180
1598409895,180
1598409896,180
1598409897,180
1598409898,180
1598409899,180
1598409900,180
1598409901,180
1598409902,180
1598409903,180
1598409904,180
1598409905,180
1598409906,180
1598409907,180
1598409908,180
1598409909,180
1598409910,180
1598409911,180
1598409912,180
1598409913,204
1598409914,228
1598409915,246
1598409916,270
1598409917,294
1598409918,300
1598409919,300
1598409920,300
1598409921,300
