t,count
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,0
1598409813,0
1598409814,0
1598409815,0
1598409816,0
1598409817,0
1598409818,726
1598409819,726
1598409820,726
1598409821,2127
1598409822,2127
1598409823,2878
1598409824,2878
1598409825,2878
1598409826,2878
1598409827,2904
1598409828,2917
1598409829,2917
1598409830,2917
1598409831,2922
1598409832,2922
1598409833,2922
1598409834,2932
1598409835,2942
1598409836,2942
1598409837,2950
1598409838,2950
1598409839,2960
1598409840,2960
1598409841,2968
1598409842,2978
1598409843,2978
1598409844,2986
1598409845,2986
1598409846,2994
1598409847,2999
1598409848,2999
1598409849,3004
1598409850,3004
1598409851,3014
1598409852,3014
1598409853,3028
1598409854,3028
1598409855,3033
1598409856,3033
1598409857,3043
1598409858,3043
1598409859,3051
1598409860,3063
1598409861,3063
1598409862,3073
1598409863,3073
1598409864,3083
1598409865,3083
1598409866,3087
1598409867,3087
1598409868,3097
1598409869,3097
1598409870,3105
1598409871,3105
1598409872,3115
1598409873,3115
1598409874,3125
1598409875,3125
1598409876,3130
1598409877,3130
1598409878,3138
1598409879,3138
1598409880,3142
1598409881,3142
1598409882,3150
1598409883,3150
1598409884,3154
1598409885,3154
1598409886,3162
1598409887,3166
1598409888,3166
1598409889,3166
1598409890,3174
1598409891,3174
1598409892,3174
1598409893,3174
1598409894,3182
1598409895,3182
1598409896,3190
1598409897,3190
1598409898,3194
1598409899,3194
1598409900,3202
1598409901,3202
1598409902,3206
1598409903,3206
1598409904,3212
1598409905,3212
1598409906,3220
1598409907,3220
1598409908,3224
1598409909,3224
1598409910,3232
1598409911,3232
1598409912,3242
1598409913,3242
1598409914,3242
1598409915,3277
1598409916,3328
1598409917,3366
1598409918,3404
1598409919,3404
1598409920,3404
1598409921,3404
