t,count
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,0
1598409813,0
1598409814,0
1598409815,0
1598409816,0
1598409817,0
1598409818,2000000
1598409819,2000000
1598409820,2000000
1598409821,4000000
1598409822,4000000
1598409823,6000000
1598409824,6000000
1598409825,6000000
1598409826,9000000
1598409827,21000000
1598409828,33000000
1598409829,33000000
1598409830,35000000
1598409831,36000000
1598409832,36000000
1598409833,39000000
1598409834,42000000
1598409835,47000000
1598409836,50000000
1598409837,54000000
1598409838,57000000
1598409839,60000000
1598409840,63000000
1598409841,68000000
1598409842,72000000
1598409843,75000000
1598409844,78000000
1598409845,81000000
1598409846,86000000
1598409847,90000000
1598409848,93000000
1598409849,96000000
1598409850,101000000
1598409851,104000000
1598409852,108000000
1598409853,111000000
1598409854,115000000
1598409855,119000000
1598409856,123000000
1598409857,126000000
1598409858,129000000
1598409859,134000000
1598409860,138000000
1598409861,141000000
1598409862,145000000
1598409863,149000000
1598409864,153000000
1598409865,156000000
1598409866,159000000
1598409867,164000000
1598409868,168000000
1598409869,171000000
1598409870,174000000
1598409871,179000000
1598409872,183000000
1598409873,186000000
1598409874,189000000
1598409875,194000000
1598409876,198000000
1598409877,201000000
1598409878,204000000
1598409879,209000000
1598409880,213000000
1598409881,216000000
1598409882,219000000
1598409883,224000000
1598409884,228000000
1598409885,231000000
1598409886,236000000
1598409887,240000000
1598409888,243000000
1598409889,246000000
1598409890,251000000
1598409891,255000000
1598409892,258000000
1598409893,261000000
1598409894,266000000
1598409895,270000000
1598409896,273000000
1598409897,278000000
1598409898,281000000
1598409899,285000000
1598409900,288000000
1598409901,291000000
1598409902,297000000
1598409903,300000000
1598409904,303000000
1598409905,308000000
1598409906,312000000
1598409907,315000000
1598409908,318000000
1598409909,323000000
1598409910,327000000
1598409911,330000000
1598409912,335000000
1598409913,336000000
1598409914,336000000
1598409915,337000000
1598409916,338000000
1598409917,339000000
1598409918,340000000
1598409919,340000000
1598409920,340000000
1598409921,340000000
