t,count
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,0
1598409812,0
1598409813,0
1598409814,0
1598409815,0
1598409816,0
1598409817,0
1598409818,0
1598409819,0
1598409820,0
1598409821,0
1598409822,0
1598409823,0
1598409824,0
1598409825,0
1598409826,0
1598409827,0
1598409828,0
1598409829,0
1598409830,2335322
1598409831,2485921
1598409832,2485921
1598409833,2832603
1598409834,3167295
1598409835,3720380
1598409836,4056637
1598409837,4430924
1598409838,4685174
1598409839,4966036
1598409840,5215677
1598409841,5688931
1598409842,5958644
1598409843,6171911
1598409844,6474186
1598409845,6629154
1598409846,6882841
1598409847,7118366
1598409848,7260382
1598409849,7431530
1598409850,7780140
1598409851,7951916
1598409852,8150009
1598409853,8374219
1598409854,8620363
1598409855,8849231
1598409856,9051724
1598409857,9231844
1598409858,9426071
1598409859,9719148
1598409860,9954093
1598409861,10120724
1598409862,10345132
1598409863,10577631
1598409864,10809878
1598409865,10955625
1598409866,11126568
1598409867,11409663
1598409868,11667720
1598409869,11821459
1598409870,11979274
1598409871,12267430
1598409872,12585175
1598409873,12753571
1598409874,12927933
1598409875,13223736
1598409876,13434677
1598409877,13593654
1598409878,13752514
1598409879,13980704
1598409880,14194291
1598409881,14349934
1598409882,14499025
1598409883,14752080
1598409884,15007658
1598409885,15129307
1598409886,15372530
1598409887,15550588
1598409888,15700253
1598409889,15831696
1598409890,16074780
1598409891,16277009
1598409892,16428512
1598409893,16570855
1598409894,16813857
1598409895,16981952
1598409896,17122853
1598409897,17345276
1598409898,17463942
1598409899,17660240
1598409900,17795707
1598409901,17947156
1598409902,18245573
1598409903,18386396
1598409904,18529230
1598409905,18733585
1598409906,18926486
1598409907,19093219
1598409908,19209555
1598409909,19422597
1598409910,19604662
1598409911,19728705
1598409912,19953911
1598409913,19999656
1598409914,19999656
1598409915,19999656
1598409916,19999656
1598409917,19999656
1598409918,19999656
1598409919,19999656
1598409920,19999656
1598409921,19999656
