t,value
1598409799,29257384
1598409800,32238624
1598409801,33559824
1598409802,34889232
1598409803,37531752
1598409804,40835112
1598409805,43477704
1598409806,56313976
1598409807,62920176
1598409808,64241376
1598409809,60155720
1598409810,92813424
1598409811,77092624
1598409812,237114304
1598409813,218163800
1598409814,474413256
1598409815,747980400
1598409816,1065819032
1598409817,645734048
1598409818,1167736256
1598409819,1551492912
1598409820,511644584
1598409821,1046519640
1598409822,851529360
1598409823,726330168
1598409824,728571312
1598409825,730445648
1598409826,961217296
1598409827,981380208
1598409828,966150296
1598409829,1154474528
1598409830,1536425112
1598409831,896877480
1598409832,905921560
1598409833,1334089128
1598409834,1055538064
1598409835,822825152
1598409836,1316435400
1598409837,975893328
1598409838,1390997128
1598409839,1096931696
1598409840,815300032
1598409841,1405011360
1598409842,1047877920
1598409843,1467362544
1598409844,1055577144
1598409845,785419040
1598409846,1322034968
1598409847,836110296
1598409848,1268126280
1598409849,927327464
1598409850,1546634632
1598409851,1098475704
1598409852,1521093496
1598409853,1085901752
1598409854,1696611016
1598409855,1252163760
1598409856,1704046848
1598409857,1175279288
1598409858,845034528
1598409859,1437843032
1598409860,914812480
1598409861,1385284208
1598409862,1022190032
1598409863,1558653120
1598409864,1022484152
1598409865,1486626904
1598409866,1111621472
1598409867,1648588824
1598409868,1104690672
1598409869,1542290712
1598409870,1102948312
1598409871,1675404736
1598409872,1183783864
1598409873,1597075448
1598409874,1179856112
1598409875,1773654768
1598409876,1211019704
1598409877,1633293816
1598409878,1241750888
1598409879,770106024
1598409880,1232132352
1598409881,1673325608
1598409882,1290970560
1598409883,789928352
1598409884,1225033560
1598409885,1754493264
1598409886,1333536192
1598409887,795633896
1598409888,1208637328
1598409889,1817869536
1598409890,1335060816
1598409891,1822984880
1598409892,1189088952
1598409893,1758938288
1598409894,1284329128
1598409895,1771876096
1598409896,1146318976
1598409897,1819201712
1598409898,1285893544
1598409899,1707839544
1598409900,1113098328
1598409901,1705326680
1598409902,1200520536
1598409903,1620943352
1598409904,1104802128
1598409905,1707888992
1598409906,1085171880
1598409907,1521339800
1598409908,1079184192
1598409909,1616551128
1598409910,957527424
1598409911,1486312424
1598409912,1019931480
1598409913,1860582960
1598409914,1255406928
1598409915,1408081784
1598409916,1839044024
1598409917,2095333984
1598409918,1656170680
1598409919,1675139200
1598409920,1787804624
1598409921,1791729576
