t,value
1598409797,0
1598409798,0
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,132545192
1598409812,132545192
1598409813,132545192
1598409814,132545192
1598409815,132545192
1598409816,132545192
1598409817,132545192
1598409818,132545192
1598409819,132545192
1598409820,132545192
1598409821,133094504
1598409822,133094504
1598409823,133094504
1598409824,133094504
1598409825,133094504
1598409826,133094504
1598409827,133094504
1598409828,133094504
1598409829,133094504
1598409830,133094504
1598409831,143536056
1598409832,143536056
1598409833,143536056
1598409834,143536056
1598409835,143536056
1598409836,143536056
1598409837,143536056
1598409838,143536056
1598409839,143536056
1598409840,143536056
1598409841,151399008
1598409842,151399008
1598409843,151399008
1598409844,151399008
1598409845,151399008
1598409846,151399008
1598409847,151399008
1598409848,151399008
1598409849,151399008
1598409850,151399008
1598409851,153420424
1598409852,153420424
1598409853,153420424
1598409854,153420424
1598409855,153420424
1598409856,153420424
1598409857,153420424
1598409858,153420424
1598409859,153420424
1598409860,153420424
1598409861,155060640
1598409862,155060640
1598409863,155060640
1598409864,155060640
1598409865,155060640
1598409866,155060640
1598409867,155060640
1598409868,155060640
1598409869,155060640
1598409870,155060640
1598409871,155946496
1598409872,155946496
1598409873,155946496
1598409874,155946496
1598409875,155946496
1598409876,155946496
1598409877,155946496
1598409878,155946496
1598409879,155946496
1598409880,155946496
1598409881,157215176
1598409882,157215176
1598409883,157215176
1598409884,157215176
1598409885,157215176
1598409886,157215176
1598409887,157215176
1598409888,157215176
1598409889,157215176
1598409890,157215176
1598409891,157265728
1598409892,157265728
1598409893,157265728
1598409894,157265728
1598409895,157265728
1598409896,157265728
1598409897,157265728
1598409898,157265728
1598409899,157265728
1598409900,157265728
1598409901,158687896
1598409902,158687896
1598409903,158687896
1598409904,158687896
1598409905,158687896
1598409906,158687896
1598409907,158687896
1598409908,158687896
1598409909,158687896
1598409910,158687896
1598409911,158364544
1598409912,158364544
1598409913,158364544
1598409914,158364544
1598409915,158364544
1598409916,158364544
1598409917,158364544
1598409918,158364544
1598409919,158364544
1598409920,158364544
1598409921,158364544
