t,value
1598409797,0
1598409798,0
1598409799,0
1598409800,0
1598409801,0
1598409802,0
1598409803,0
1598409804,0
1598409805,0
1598409806,0
1598409807,0
1598409808,0
1598409809,0
1598409810,0
1598409811,226
1598409812,226
1598409813,226
1598409814,226
1598409815,226
1598409816,226
1598409817,226
1598409818,226
1598409819,226
1598409820,226
1598409821,226
1598409822,226
1598409823,226
1598409824,226
1598409825,226
1598409826,226
1598409827,226
1598409828,226
1598409829,226
1598409830,226
1598409831,226
1598409832,226
1598409833,226
1598409834,226
1598409835,226
1598409836,226
1598409837,226
1598409838,226
1598409839,226
1598409840,226
1598409841,226
1598409842,226
1598409843,226
1598409844,226
1598409845,226
1598409846,226
1598409847,226
1598409848,226
1598409849,226
1598409850,226
1598409851,226
1598409852,226
1598409853,226
1598409854,226
1598409855,226
1598409856,226
1598409857,226
1598409858,226
1598409859,226
1598409860,226
1598409861,226
1598409862,226
1598409863,226
1598409864,226
1598409865,226
1598409866,226
1598409867,226
1598409868,226
1598409869,226
1598409870,226
1598409871,226
1598409872,226
1598409873,226
1598409874,226
1598409875,226
1598409876,226
1598409877,226
1598409878,226
1598409879,226
1598409880,226
1598409881,226
1598409882,226
1598409883,226
1598409884,226
1598409885,226
1598409886,226
1598409887,226
1598409888,226
1598409889,226
1598409890,226
1598409891,226
1598409892,226
1598409893,226
1598409894,226
1598409895,226
1598409896,226
1598409897,226
1598409898,226
1598409899,226
1598409900,226
1598409901,226
1598409902,226
1598409903,226
1598409904,226
1598409905,226
1598409906,226
1598409907,226
1598409908,226
1598409909,226
1598409910,226
1598409911,226
1598409912,226
1598409913,226
1598409914,226
1598409915,226
1598409916,226
1598409917,226
1598409918,226
1598409919,226
1598409920,226
1598409921,226
