t,value
1598409794,2
1598409795,2
1598409796,6
1598409797,7
1598409798,15
1598409799,15
1598409800,15
1598409801,16
1598409802,16
1598409803,16
1598409804,16
1598409805,16
1598409806,16
1598409807,16
1598409808,16
1598409809,18
1598409810,18
1598409811,19
1598409812,19
1598409813,19
1598409814,19
1598409815,19
1598409816,19
1598409817,19
1598409818,19
1598409819,19
1598409820,19
1598409821,19
1598409822,19
1598409823,19
1598409824,19
1598409825,19
1598409826,22
1598409827,22
1598409828,22
1598409829,23
1598409830,22
1598409831,22
1598409832,22
1598409833,22
1598409834,22
1598409835,22
1598409836,22
1598409837,22
1598409838,22
1598409839,21
1598409840,21
1598409841,21
1598409842,21
1598409843,21
1598409844,21
1598409845,21
1598409846,21
1598409847,21
1598409848,21
1598409849,21
1598409850,21
1598409851,21
1598409852,21
1598409853,21
1598409854,21
1598409855,21
1598409856,22
1598409857,22
1598409858,22
1598409859,22
1598409860,22
1598409861,22
1598409862,22
1598409863,22
1598409864,22
1598409865,22
1598409866,22
1598409867,22
1598409868,22
1598409869,21
1598409870,21
1598409871,21
1598409872,21
1598409873,21
1598409874,21
1598409875,21
1598409876,21
1598409877,21
1598409878,21
1598409879,21
1598409880,21
1598409881,21
1598409882,21
1598409883,21
1598409884,21
1598409885,21
1598409886,22
1598409887,22
1598409888,22
1598409889,22
1598409890,22
1598409891,22
1598409892,22
1598409893,22
1598409894,22
1598409895,22
1598409896,22
1598409897,22
1598409898,22
1598409899,22
1598409900,21
1598409901,21
1598409902,21
1598409903,21
1598409904,21
1598409905,21
1598409906,21
1598409907,21
1598409908,21
1598409909,21
1598409910,21
1598409911,21
1598409912,21
1598409913,21
1598409914,21
1598409915,21
1598409916,22
1598409917,22
1598409918,22
1598409919,22
1598409920,22
1598409921,22
