t,value
1598409794,46923776
1598409795,51380224
1598409796,56492032
1598409797,62541824
1598409798,70778880
1598409799,79036416
1598409800,79036416
1598409801,79560704
1598409802,79560704
1598409803,85721088
1598409804,97517568
1598409805,105066496
1598409806,109129728
1598409807,109129728
1598409808,109129728
1598409809,109129728
1598409810,109522944
1598409811,109785088
1598409812,109785088
1598409813,109785088
1598409814,109785088
1598409815,110047232
1598409816,110047232
1598409817,110047232
1598409818,110047232
1598409819,110047232
1598409820,110047232
1598409821,110047232
1598409822,110047232
1598409823,110047232
1598409824,110309376
1598409825,110309376
1598409826,110964736
1598409827,111489024
1598409828,111751168
1598409829,115159040
1598409830,115421184
1598409831,115421184
1598409832,115945472
1598409833,116207616
1598409834,116469760
1598409835,116469760
1598409836,116731904
1598409837,116731904
1598409838,116731904
1598409839,116994048
1598409840,117256192
1598409841,117256192
1598409842,117256192
1598409843,117256192
1598409844,117256192
1598409845,117256192
1598409846,117256192
1598409847,117256192
1598409848,117256192
1598409849,117256192
1598409850,117256192
1598409851,117256192
1598409852,117518336
1598409853,117518336
1598409854,117518336
1598409855,117518336
1598409856,117518336
1598409857,117518336
1598409858,117518336
1598409859,117780480
1598409860,117780480
1598409861,117780480
1598409862,117780480
1598409863,117780480
1598409864,117780480
1598409865,117780480
1598409866,117780480
1598409867,117780480
1598409868,117780480
1598409869,117780480
1598409870,117780480
1598409871,117780480
1598409872,117780480
1598409873,117780480
1598409874,117780480
1598409875,117780480
1598409876,117780480
1598409877,117780480
1598409878,117780480
1598409879,117780480
1598409880,117780480
1598409881,117780480
1598409882,117780480
1598409883,117780480
1598409884,117780480
1598409885,117780480
1598409886,117780480
1598409887,117780480
1598409888,118042624
1598409889,118042624
1598409890,118042624
1598409891,118042624
1598409892,118042624
1598409893,118042624
1598409894,118042624
1598409895,118042624
1598409896,118042624
1598409897,118042624
1598409898,118042624
1598409899,118042624
1598409900,118042624
1598409901,118042624
1598409902,118042624
1598409903,118042624
1598409904,118042624
1598409905,118042624
1598409906,118042624
1598409907,118042624
1598409908,118042624
1598409909,118042624
1598409910,118042624
1598409911,118042624
1598409912,118042624
1598409913,118435840
1598409914,118435840
1598409915,118435840
1598409916,118435840
1598409917,118435840
1598409918,118435840
1598409919,122236928
1598409920,122236928
1598409921,123154432
